Type,Name,PFAS,Lattitude,Longtitude
Drinking Water,asquotank County Water System,5.80,36.30,-76.24
Lake,CATAWBA RIV-LAKE WYLIE,5.44,34.47,-80.89
Well,TYRRELL COUNTY WATER: RO WELL #4,5.4,35.93,-76.36
River,WINSTON-SALEM  CITY OF  YADKIN RIVER (IDOLS DAM),5.2,35.97,-80.40
Drinking Water,HYDE COUNTY WATER SYSTEM NC,4.60,35.38,-76.18
Well,HYDE COUNTY WATER SYSTEM: FAIRFIELD WELL #1,4.6,35.56,-76.31
River,SALISBURY-ROWAN  YADKIN RIVER,4.6,35.70,-80.50
Drinking Water,CITY OF LEXINGTON NC,4.60,35.82,-80.25
Well,TOWN OF BATH  WATER SYSTEM: WELL #1,4.5,35.47,-76.81
Drinking Water,Bakersville  NC,4.20,36.02,-82.16
River,CITY OF KING PUBLIC UTILITIES: YADKIN RIVER,4.1,36.26,-80.47
Drinking Water,Southern Pines  NC,3.90,35.17,-79.39
Well,HARRISBURG  TOWN OF: WELL #3,3.9,35.30,-80.67
Drinking Water,Harrisburg  NC,3.90,35.32,-80.66
Well,TAYLORTOWN  TOWN OF  WELL #1,3.7,35.20,-79.49
Drinking Water,TOWN OF TAYLORTOWN NC,3.70,35.21,-79.49
Drinking Water,TOWN OF MOUNT PLEASANT  NC,3.60,35.40,-80.44
Creek,MOUNT PLEASANT  TOWN OF (WSACC): DUTCH BUFFALO CREEK,3.6,35.41,-80.49
Well,TOWN OF BLACK MOUNTAIN ,3.5,35.62,-82.33
Drinking Water,Black Mountain  NC,3.50,35.62,-82.32
Drinking Water,City of Mount Holly  NC,3.30,35.30,-81.02
Lake,MOUNTAIN ISLAND LAKE,3.3,35.34,-80.99
Drinking Water,CITY OF ROXBORO  NC,3.30,36.39,-78.98
Well,BOLTON  TOWN OF: WELL #1,3.2,34.32,-78.40
Lake,LAKE FISHER/COLDWATER CRK,3.2,35.49,-80.58
Drinking Water,CHOWAN CO WATER SYSTEM NC,3.10,36.14,-76.62
Well,County of CHOWAN : WELL #9 @ VALHALLA,3.1,36.15,-76.69
Drinking Water,CITY OF EDEN NC,3.10,36.49,-79.77
Drinking Water,DUPLIN COUNTY WATER SYSTEM NC,3.00,34.88,-78.02
Drinking Water,Cleveland County NC  NC,3.00,35.36,-81.60
Drinking Water,CLEVELAND COUNTY WATER,3.00,35.40,-81.27
Drinking Water,CLEVELAND COUNTY WATER,3.00,35.43,-81.56
Creek,MOCKSVILLE  TOWN OF: HUNTING CREEK,3,35.94,-80.51
Lake,CHARLOTTE WATER: LAKE NORMAN,2.7,35.45,-80.91
Drinking Water,Mars Hill  NC,2.70,35.83,-82.55
Lake,GRANITE FALLS  TOWN OF  LAKE RHODHISS,2.64,35.79,-81.43
Drinking Water,CITY OF WASHINGTON NC,2.50,35.55,-77.05
Drinking Water,City of Washington,2.50,35.56,-77.07
Drinking Water,Perquimans County  NC,2.50,36.13,-76.41
Drinking Water,City of Belmont  NC,2.40,35.24,-81.04
Lake,CATAWBA RIV/LAKE HICKORY,2.39,35.76,-81.37
Drinking Water,Kings Mountain  NC,2.30,35.25,-81.34
Drinking Water,Kings Mountain  NC,2.24,35.26,-81.36
Drinking Water,Valdese  NC,2.20,35.74,-81.56
Lake,VALDESE  TOWN OF  LAKE RHODHISS,2.2,35.78,-81.56
Drinking Water,Ahoskie  NC,2.20,36.29,-76.98
Drinking Water,Harrellsville  NC,2.20,36.30,-76.79
Well,ROSE HILL  TOWN OF  : WELL #5,2.1,34.83,-78.03
Drinking Water,town of faith nc,2.10,35.59,-80.46
Well,PASQUOTANK CO RO WATER SYSTEM: WESLEY 1 WELL,2.1,36.29,-76.35
Drinking Water,BELHAVEN WATER SYSTEM NC,2.00,35.54,-76.62
Well,TOWN OF BELHAVEN WATER SYSTEM: WELL #3,2,35.55,-76.63
Drinking Water,ORIENTAL WATER SYSTEM NC,1.80,35.03,-76.69
Drinking Water,City of King  NC,1.80,36.28,-80.36
Well,LAGRANGE WATER SYSTEM: WELL #2,1.7,35.30,-77.79
Drinking Water,LA GRANGE WATER SYSTEM NC,1.70,35.31,-77.79
Drinking Water,City of Asheville  NC,1.70,35.60,-82.55
Drinking Water,Onslow  NC,1.60,34.65,-77.47
Well,ONSLOW WTR AND SEWER AUTHORITY: WELL #13,1.6,34.77,-77.45
Drinking Water,Durham County  NC,1.60,36.05,-78.88
Drinking Water,DURHAM COUNTY ROUGEMONT WATER SYSTEM NC,1.60,36.22,-78.93
Drinking Water,TOWN OF SURF CITY NC,1.50,34.43,-77.55
Drinking Water,TOWN OF GREENEVERS NC,1.40,34.82,-77.93
Well,GREENEVERS  TOWN OF: WELL #1,1.4,34.83,-77.93
Well,PINK HILL  TOWN OF  : WELL #1,1.4,35.05,-77.74
Drinking Water,TOWN OF PINK HILL NC,1.40,35.06,-77.75
Drinking Water,New Bern  NC,1.40,35.11,-77.04
Drinking Water,FIRST CRAVEN SANITARY DISTRICT,1.40,35.12,-77.00
Drinking Water,Beaufort County Southside,1.40,35.45,-77.06
Drinking Water,city of edenton nc,1.25,36.07,-76.61
Drinking Water,City of Eden,1.25,36.49,-79.76
River,TUCKASEIGEE WATER & SEWER AUTH  TUCKASEGEE RIVER,1.2,35.38,-83.27
Drinking Water,Ayden  NC,1.20,35.47,-77.42
Drinking Water,GRIMESLAND TOWN OF,1.20,35.56,-77.19
Drinking Water,SOUTHERN OUTER BANKS WTR SYST NC,1.20,35.56,-75.47
Drinking Water,MARS HILL  TOWN OF  : CARTER COVE RESERVOIR,1.20,35.94,-82.50
Well,CURRITUCK : SOUTHERN OUTER BANKS WTR SYST: WELL #1,1.2,36.44,-76.01
Drinking Water,Rockingham  NC,1.15,34.95,-79.75
Drinking Water,Roseboro  NC,1.10,34.95,-78.51
River,Two Rivers Utilities,1.1,35.27,-81.18
Drinking Water,Davidson  NC,1.10,35.50,-80.85
Drinking Water,TOWN OF EDENTON NC,1.10,36.06,-76.61
River,Eno River  Hillsborough  NC,1.1,36.07,-79.13
Drinking Water,TOWN OF HILLSBOROUGH NC,1.10,36.08,-79.10
Drinking Water,Yadkinville  NC,1.10,36.13,-80.66
Drinking Water,town of farmville nc,1.00,35.60,-77.59
Well,CLAY CO WATER & SEWER DISTRICT: WELL #5,0,29.87,-81.62
Well,CAROLINA BEACH WATER SYSTEM: WELL #1,0,34.03,-77.90
Well,CFPUA-WILMINGTON: MASONBORO FOREST WELL #43,0,34.12,-77.89
Well,TABOR CITY  TOWN OF   WELL #1,0,34.15,-78.88
Creek,CFPUA/MONTEREY HEIGHTS: LORDS CREEK,0,34.15,-77.91
Well,TOWN OF BRUNSWICK_0424040  DUTCHESS FOREST S/D: WELL #1,0,34.29,-78.70
Drinking Water,FAIR BLUFF  TOWN OF,0.00,34.31,-79.03
Drinking Water,CERRO GORDO  TOWN OF,0.00,34.33,-78.95
Well,WHITEVILLE  CITY OF: WELL #5,0,34.33,-78.69
Drinking Water,EAST ARCADIA,0.00,34.39,-78.31
Well,SURF CITY  TOWN OF  WELL #3,0,34.44,-77.56
Drinking Water,CLARKTON  TOWN OF,0.00,34.47,-78.65
Drinking Water,FAIRMONT TOWN OF ,0.00,34.50,-79.12
Well,ROWLAND  TOWN OF  : WELL #1,0,34.53,-79.29
Well,WHITE LAKE  TOWN OF  WELL #3A,0,34.66,-78.51
Drinking Water,Morehead City  NC,0.00,34.72,-76.76
Drinking Water,MAXTON  TOWN OF,0.00,34.74,-79.34
Well,WALLACE  TOWN OF: WELL #1,0,34.74,-78.00
Drinking Water,Laurinburg  NC,0.00,34.75,-79.48
Drinking Water,town of GARLAND,0.00,34.79,-78.40
Well,NEWPORT WATER SYSTEM: WELL #3,0,34.79,-76.87
River,Cape Fear River,0,34.80,-78.81
Well,RED SPRINGS  TOWN OF: WELL #2,0,34.81,-79.19
Drinking Water,SAINT PAULS  NC,0.00,34.81,-78.98
Drinking Water,Parkton  NC,0.00,34.90,-79.01
Well,RAEFORD  CITY OF: WELL #26,0,34.98,-79.26
Well,TURKEY  TOWN OF  WELL #2,0,34.99,-78.19
Well,WARSAW  TOWN OF  WELL #6,0,35.00,-78.07
Drinking Water,SAMPSON COUNTY PUBLIC WORKS DEPT  ,0.00,35.02,-78.27
Lake,MONROE  CITY OF  : LAKE TWITTY,0,35.04,-80.48
River,MURPHY  TOWN OF  : HIWASSEE RIVER,0,35.06,-83.94
River,River Bend  NC,0,35.06,-77.17
Well,PINEBLUFF  TOWN OF  : WELL #2,0,35.11,-79.48
Well,FAISON  TOWN OF: WELL #4,0,35.11,-78.14
River,CARTOOGECHAYE RIVER,0,35.16,-83.44
Well,PAMLICO COUNTY WATER: MILL POND WELL #1,0,35.16,-76.77
Creek,TRYON  TOWN OF  BIG FALLS CREEK,0,35.20,-82.24
Well,MOUNT OLIVE  TOWN OF: WELL #3,0,35.20,-78.07
Drinking Water,Town of Docer ,0.00,35.22,-77.44
Well,OAKBORO  TOWN OF  : WELL #3,0,35.23,-80.32
Well,KINSTON  CITY OF: DARDEN DR/WELL #11,0,35.24,-77.58
River,SHELBY  CITY OF: FIRST BROAD RIVER,0,35.30,-81.57
Lake,BESSEMER CITY : ARROWWOOD LAKE,0,35.30,-81.30
River,WESTERN CAROLINA UNIV WTP: TUCKASEIGEE RIVER,0,35.31,-83.17
Well,VANCEBORO WATER SYSTEM: WELL #1,0,35.31,-77.15
Creek,ROBBINSVILLE  TOWN OF: LONG CREEK,0,35.32,-83.81
Well,LAKE SANTEETLAH  TOWN OF: WELL #4,0,35.36,-83.87
Drinking Water,GRIFTON  TOWN O,0.00,35.38,-77.43
Creek,WAYNESVILLE  TOWN OF  ALLENS CREEK RESERVOIR,0,35.42,-83.01
Lake,LAKE LURE TOWN OF,0,35.42,-82.20
Well,SNOW HILL  TOWN OF  TYSON WELL #5,0,35.44,-77.65
Lake,TOWN OF FONTANA DAM  FONTANA LAKE,0,35.45,-83.80
Creek,Contentnea Creek,0,35.46,-77.68
Drinking Water,WAYNE WATER DISTRICTS: ARRINGTON BRDG RD-SHALLOW,0.00,35.48,-77.85
Creek,MAGGIE VALLEY SANITARY DIST  :CAMBELL'S CREEK,0,35.51,-83.10
Well,WINTERVILLE  TOWN OF  HUNSUCKER WELL,0,35.51,-77.41
Creek,MAGGIE VALLEY SANITARY DIST  : JONATHANS CREEK,0,35.52,-83.10
Drinking Water,WOODFIN SANITARY WATER AND SEWER: SUGAR FORK,0.00,35.64,-82.51
Well,MONTREAT WATER SYSTEM: WELL #1,0,35.65,-82.30
Drinking Water,Saratoga  NC,0.00,35.65,-77.78
Drinking Water,ASHEVILLE CITY OF: NORTH FORK RESERVOIR,0.00,35.66,-82.35
Well,STANTONSBURG  TOWN OF  WELL #1,0,35.66,-77.85
Creek,MARION  CITY OF: MACKEY CREEK,0,35.67,-82.13
River,WEAVERVILLE  TOWN OF  IVY RIVER,0,35.69,-82.58
Drinking Water,Ramseur  NC,0.00,35.74,-79.67
Well,Macclesfield  NC : Well,0,35.75,-77.67
Well,PINETOPS  TOWN OF  : WELL #4,0,35.77,-77.63
Lake,LAKE RHODHISS  Lenoir  NC ,0,35.78,-81.49
River,City of CANTON : Piegeon River ,0,35.83,-83.14
Drinking Water,Robersonville Township  NC,0.00,35.84,-77.27
Well,MARSHALL  TOWN OF  : WELL #10,0,35.86,-82.66
Well,PLYMOUTH WATER SYSTEM: WELL #1,0,35.87,-76.74
Lake,Lake Thom-A-Lex Park  Yokley Road  Lexington  NC,0,35.88,-80.19
Drinking Water,Hot Springs  NC,0.00,35.89,-82.82
Well,WASHINGTON COUNTY WATER SYSTEM: WELL #1,0,35.91,-76.49
River,TARBORO  TOWN OF  TAR RIVER,0,35.92,-77.51
Well,COLUMBIA WATER SYSTEM: COLUMBIA WATER WELL #1,0,35.92,-76.24
Creek,MARS HILL  TOWN OF  : LAUREL CREEK RESERVIOR,0,35.94,-82.49
River,Neuse River,0,35.94,-78.58
Well,SPRING HOPE  TOWN OF  WELL #4 ELEM SCH,0,35.95,-78.11
Well,NASHVILLE  TOWN OF: WELL #7,0,35.97,-78.00
River,Yadkin River,0,36.00,-80.42
Well,WINDSOR  TOWN OF  WELL #6B,0,36.00,-76.95
River,Louisburg  NC : TAR RIVER,0,36.11,-78.29
Drinking Water,BLOWING ROCK  NC,0.00,36.13,-81.67
River,WILKESBORO  TOWN OF  YADKIN RIVER,0,36.14,-81.18
River,Chowan River,0,36.15,-76.74
Drinking Water,town of elk park nc,0.00,36.16,-81.98
Drinking Water,TOWN OF BANNER ELK,0.00,36.16,-81.87
River,NORTH WILKESBORO  TOWN OF  : REDDIES RIVER,0,36.16,-81.16
Drinking Water,town of ENFIELD nc,0.00,36.18,-77.67
Drinking Water,APPALACHIAN STATE UNIV WTP: NORRIS BRANCH,0.00,36.21,-81.68
Well,RONDA  TOWN OF: WELL #2,0,36.22,-80.94
Well,POWELLSVILLE  TOWN OF  : WELL #1 WYNN ST,0,36.22,-76.93
Creek,ELKIN  TOWN OF: BIG ELKIN CREEK,0,36.26,-80.87
Well,Rich Square Township  NC : Well #1,0,36.27,-77.29
Drinking Water,Rich Square Township  NC,0.00,36.27,-77.28
Well,WALNUT COVE  TOWN OF  WELL #3,0,36.30,-80.13
Well,SOUTH CAMDEN WTR & SWR DISTRCT: WELL #1 DEEP,0,36.31,-76.22
Well,WOODLAND  TOWN OF: WELL #1,0,36.33,-77.21
Well,VILLAGE OF COFIELD  WELL #3,0,36.36,-76.91
Creek,Beaver Creek  NC,0,36.38,-81.50
River,Madison  NC : DAN RIVER,0,36.38,-79.99
Well,JACKSON  TOWN OF: WELL #2,0,36.39,-77.42
Well,WINTON  TOWN OF  WELL #1,0,36.40,-76.93
River,DOBSON  TOWN OF: FISHER RIVER,0,36.42,-80.72
Well,TOWN OF CONWAY  TOWN OF: WELL #5A,0,36.43,-77.23
Well,MURFREESBORO  TOWN OF: WELL #1,0,36.44,-77.10
River,Roanoke River,0,36.48,-77.66
Drinking Water,Lansing  NC,0.00,36.50,-81.51
Well,SPARTA  TOWN OF: WELL #9,0,36.50,-81.12
Well,SEABOARD  TOWN OF: WELL #1,0,36.50,-77.44
Well,SEVERN  TOWN OF: WELL #2,0,36.51,-77.19
Creek,MOUNT AIRY  CITY OF: LOVILLS CREEK,0,36.52,-80.62
Well,Milton  NC : Well #6,0,36.53,-79.21
