Fire Department,Chief / Captain,Address,City / State / Zip,County,Phone,Email Address,FDID,Address2,Latitude,Longtitude
Hope Mills Fire Department,Charles L Hodges,5788 Rockfish Rd.,"Hope Mills, NC 28348",Cumberland,(910) 424-0948,clhodges@townofhopemills.com,2610,"5788 Rockfish Rd. Hope Mills, NC 28348",34.9735353,-78.9592538
"Verona Volunteer Fire Department, Inc.",Toby Lynn Thomas,101 Verona Road,"Jacksonville, NC 28540",Onslow,,tobythomas22@gmail.com,6719,"101 Verona Road Jacksonville, NC 28540",34.6695425,-77.4719219
Jacksonville Fire & Emergency Services,Edward  Tallman,PO Box 128,"Jacksonville, NC 28541-0128",Onslow,(910) 455-8080,etallman@jacksonvillenc.gov,6710,"PO Box 128 Jacksonville, NC 28541-0128",34.7493743,-77.4217422
"Jamesville Community Volunteer Fire Department, Inc.",John M. Pierce,Post Office Box 4,"Jamesville, NC 27846",Martin,(252) 792-4345,jcvfd178@yahoo.com,5904,"Post Office Box 4 Jamesville, NC 27846",35.8112719,-76.896616
"Kenly Volunteer Fire Department, Incorporated",Gregory P Whitehurst,PO Box 868,"Kenly, NC 27542",Johnston,(919) 284-4441,gpwhitehurst@gmail.com,5114,"PO Box 868 Kenly, NC 27542",35.5960854,-78.124809
"Beeson Cross Roads Fire and Rescue, Inc.",Edward Scott Hampton,1105 Old Salem Road,"Kernersville, NC 27284",Forsyth,(336) 996-4681,bcfd526@gmail.com,3401,"1105 Old Salem Road Kernersville, NC 27284",36.0861167,-80.0996946
"The Piney Grove Volunteer Fire and Rescue Department, Inc.",Jimmy L Barrow,P.O. Box 338,"Kernersville, NC 27284",Forsyth,(336) 993-5721,jbarrow@pineygrovefirerescue.org,3413,"P.O. Box 338 Kernersville, NC 27284",36.1198588,-80.0736533
Kernersville Fire Department,Roger Scott Alderman,P.O. Box 728,"Kernersville, NC 27285",Forsyth,(336) 996-4885,salderman@toknc.com,3408,"P.O. Box 728 Kernersville, NC 27285",36.12,-80.0699999
Kill Devil Hills Fire Department,Troy N Tilley,Post Office Box 1719,"Kill Devil Hills, NC 27948",Dare,(252) 480-4060,troy@kdhnc.com,2804,"Post Office Box 1719 Kill Devil Hills, NC 27948",36.0307226,-75.6760101
"Colington Volunteer Fire Department, Inc.",Walter Glenn Rainey,108 Schoolhouse Rd,"Kill Devil Hills, NC 27948",Dare,(252) 441-6234,chief15@outlook.com,2816,"108 Schoolhouse Rd Kill Devil Hills, NC 27948",36.0080686,-75.7015751
City Of King Fire Department,Steven Anthony Roberson,302 W. King St,"King, NC 27021",Stokes,(336) 983-3030,sroberson@ci.king.nc.us,8503,"302 W. King St King, NC 27021",36.283596,-80.3622545
"Southwood Volunteer Fire Department, Inc.",Craig  Jarman,1211 Strawberry Branch Rd,"Kinston, NC 28501",Lenoir,(919) 628-2579,cjarman512@gmail.com,5424,"1211 Strawberry Branch Rd Kinston, NC 28501",35.2153455,-77.5652747
"New Hope Volunteer Fire Department of Wayne County, Inc.",Alvin L Laws,583 Mark Edwards Road,"La Grange, NC 28551",Wayne,(250) 439-1810,al91859@bellsouth.net,9613,"583 Mark Edwards Road La Grange, NC 28551",35.3866161,-77.8673221
Lake Lure Fire Department,Dustin Eugene Waycaster,622 Memorial Highway,"Lake Lure, NC 28746",Rutherford,(828) 625-9333,firechief@townoflakelure.com,8117,"622 Memorial Highway Lake Lure, NC 28746",35.4203412,-82.187805
Landis Volunteer Fire Department,Ron E Miller,P.O. Box 8165,"Landis, NC 28088",Rowan,(704) 855-1269,rmiller@townoflandis.com,8058,"P.O. Box 8165 Landis, NC 28088",35.5463434,-80.6132646
Laurinburg Fire Department,Jordan Chesley Mcqueen,501 N. Main Street,"Laurinburg, NC 28352",Scotland,(910) 276-1811,jmcqueen@laurinburg.org,8303,"501 N. Main Street Laurinburg, NC 28352",34.7825406,-79.4585665
"The Lewisville Volunteer Fire Department, Inc.",Darin Keith Needham,216 Lewisville Clemmons,"Lewisville, NC 27023",Forsyth,(336) 945-5983,darinn@lewisvillefire.com,3409,"216 Lewisville Clemmons Lewisville, NC 27023",36.0948741,-80.4178296
Lexington Fire Department,Thomas P Jarrett,28 West Center Street,"Lexington, NC 27292",Davidson,(336) 248-3935,tpjarrett@lexingtonnc.gov,2908,"28 West Center Street Lexington, NC 27292",35.8250587,-80.253895
"Arcadia-Reedy Creek-Hampton Volunteer Fire and Rescue Department, Inc.",Timothy L.  James,1374 Ruff Leonard Road,"Lexington, NC 27295",Davidson,(336) 764-1291,chief@a-rc-hfd.com,2901,"1374 Ruff Leonard Road Lexington, NC 27295",35.9412831,-80.3086449
"Midway Fire & Rescue Department, Inc.",Michael S Craft,228 Midway School Road,"Lexington, NC 27295",Davidson,(336) 764-0920,mcraft@triad.rr.com,2910,"228 Midway School Road Lexington, NC 27295",35.9529259,-80.2157921
"Reeds Fire Department, Inc.",Chad Randall Fink,186 S. N.C. Hwy. 150,"Lexington, NC 27295",Davidson,(336) 787-5565,reedsfd@yahoo.com,2912,"186 S. N.C. Hwy. 150 Lexington, NC 27295",35.8240265,-80.2533838
"Tyro Rural Fire Department, Incorporated",Timothy Aaron Spivey,4645 S. NC Hwy 150,"Lexington, NC 27295",Davidson,(336) 853-2384,spivey_tim@yahoo.com,2920,"4645 S. NC Hwy 150 Lexington, NC 27295",35.8052424,-80.3771303
"Kimesville Community Fire Department and Rescue, Inc.",Gilbert S Black,6610 Humble Road,"Liberty, NC 27298",Guilford,(336) 233-0147,kimesvillevolunt@bellsouth.net,4124,"6610 Humble Road Liberty, NC 27298",35.9363671,-79.5728552
Lillington Fire Department,John  Bethune,P.O. Box 296,"Lillington, NC 27546",Harnett,(910) 893-9342,jbethune@lillingtonnc.org,4311,"P.O. Box 296 Lillington, NC 27546",35.399327,-78.8158528
"Summerville Bunnlevel Fire & Rescue, Inc.",Melvin R Yow,P.O. Box 1144,"Lillington, NC 27546",Harnett,(910) 893-5607,brianh@summervillefire.org,4313,"P.O. Box 1144 Lillington, NC 27546",35.399327,-78.8158528
Boger City Volunteer Fire Department,Ryan Heavner,410 McCalister Rd,"Lincolnton, NC 28092",Lincoln,(704)736-8920,rheavner@lincolntonnc.org,5501,"410 McCalister Rd Lincolnton, NC 28092",35.4874899,-81.2015642
"Howard's Creek Volunteer Fire Dept., Inc.",Dusty  Rudisill,3604 West Hwy. 27,"Lincolnton, NC 28092",Lincoln,(704) 735-9874,drudisill@howardscreekfd.org,5505,"3604 West Hwy. 27 Lincolnton, NC 28092",32.8502576,-84.8454816
Lincolnton Fire Department,Charles Ryan Heavner,101 Terrace Place,"Lincolnton, NC 28092",Lincoln,(704) 736-8920,rheavner@lincolntonnc.org,5506,"101 Terrace Place Lincolnton, NC 28092",35.4664966,-81.2300897
"Linwood Rural Fire Department, Inc.",Terry  Leonard,P.O. Box 173,"Linwood, NC 27299",Davidson,(336) 956-2040,twlinwood@lexcominc.net,2909,"P.O. Box 173 Linwood, NC 27299",35.7379528,-80.3992652
"Lowell Volunteer Fire Department, Inc.",Robert Benjamin Cunningham,P.O. Box 327,"Lowell, NC 28098",Gaston,(704) 824-3357,rcunningham@lowellfd.com,3615,"P.O. Box 327 Lowell, NC 28098",35.265536,-81.1030573
"Goose Creek Island Volunteer Fire Department, Inc.",Jeffery Dwayne Sanders,5036 Lowland Road,"Lowland, NC 28552",Pamlico,(252) 745-5453,jeff.sanders@pamlicocounty.org,6908,"5036 Lowland Road Lowland, NC 28552",35.3024732,-76.5775849
"Crossroads Volunteer Fire Department, Inc.",David A Johnson,P O Box 626,"Lucama, NC 27851",Wilson,(252) 373-1168,crossroadsfd@embarqmail.com,9815,"P O Box 626 Lucama, NC 27851",35.6454365,-78.0097099
"Lumber Bridge Volunteer Fire Department, Inc.",Robert M Canady,PO Box 490,"Lumber Bridge, NC 28357",Robeson,(910) 843-3118,lumberbridgefire@yahoo.com,7809,"PO Box 490 Lumber Bridge, NC 28357",34.8884971,-79.0722541
"East Howellsville Volunteer Fire Department, Inc.",Steven B West,PO Box 2868,"Lumberton, NC 28359",Robeson,(910) 740-0861,easthowellsville@gmail.com,7805,"PO Box 2868 Lumberton, NC 28359",34.6216196,-79.0059754
Lumberton Fire Department,John P Ivey,P.O. Box 924,"Lumberton, NC 28359",Robeson,(910) 671-3860,pivey@ci.lumberton.nc.us,7810,"P.O. Box 924 Lumberton, NC 28359",34.6216196,-79.0059754
"Churchill-Five Forks Volunteer Fire Department, Inc.",Robby  Ross,1168 Church Hill Road,"Macon, NC 27551",Warren,(252) 432-2899,robbyross@embarqmail.com,9306,"1168 Church Hill Road Macon, NC 27551",36.4943443,-78.0493679
"Macon Rural Fire Department, Inc.",Lynn C Henry,Post Office Box 103,"Macon, NC 27551",Warren,(252) 257-4200,lchenry901@gmail.com,9307,"Post Office Box 103 Macon, NC 27551",36.4387585,-78.0838809
"Jacobs Creek Fire Tax District, Inc.",Robert B Irving,633 NC 704,"Madison, NC 27025",Rockingham,(336) 613-5294,irving_fish_hatchery@yahoo.com,7916,"633 NC 704 Madison, NC 27025",36.386778,-79.8230376
Maiden Fire Department,Tracy Allen Caldwell,19 North Main Street,"Maiden, NC 28650",Catawba,(828) 428-5028,tcaldwell@maidennc.gov,1809,"19 North Main Street Maiden, NC 28650",35.5766941,-81.2125506
"Roanoke Island Volunteer Fire Department, Inc.",Talmadge  Jones,Post Office Box 1033,"Manteo, NC 27954",Dare,(252) 473-2300,obxtjones@charter.net,2807,"Post Office Box 1033 Manteo, NC 27954",35.9082256,-75.6757302
"The Maple Hill Volunteer Fire Department, Incorporated",Harold  Motley,115 Old Maple Hill rd N,"Maple Hill, NC 28454",Pender,(910) 231-4618,harold.w.motley@gmail.com,7105,"115 Old Maple Hill rd N Maple Hill, NC 28454",34.6627639,-77.6937619
Marion Fire Department,Raymond  McDaniel,PO Drawer 700,"Marion, NC 28752",McDowell,(828) 652-5201,rmcdaniel@marionnc.org,5605,"PO Drawer 700 Marion, NC 28752",35.6840131,-82.0092745
Matthews Fire & EMS,Robert David Kinniburgh,232 Matthews Station Street,"Matthews, NC 28105",Mecklenburg,(704) 708-1200,rkinniburgh@matthewsnc.gov,6014,"232 Matthews Station Street Matthews, NC 28105",35.1159879,-80.7183665
"Maysville Fire and EMS, INC.",Michael D Jordan,P.O. Box 304,"Maysville, NC 28555",Jones,(910) 743-2709,maysvillefire@jonescountync.gov,5203,"P.O. Box 304 Maysville, NC 28555",34.9048814,-77.2313436
Mebane Fire Department,Robert Joseph Louis,405 N. First St.,"Mebane, NC 27302",Alamance,(919) 563-5718,blouis@cityofmebane.com,109,"405 N. First St. Mebane, NC 27302",36.1018661,-79.2708818
"Florence-Whortonsville Volunteer Fire Department, Inc.",Joe H Lupton,5208 Florence Rd,"Merritt, NC 28556",Pamlico,(252) 670-8829,jlupton74@gmail.com,6909,"5208 Florence Rd Merritt, NC 28556",35.143159,-76.65151
Mocksville Fire Department,Frank B Carter,171 Clement St,"Mocksville, NC 27028",Davie,(336) 751-5782,fbcarter@mocksvillefire.com,3022,"171 Clement St Mocksville, NC 27028",35.8933576,-80.5630931
"Bakers Volunteer Fire and Rescue Department, Inc.",Donald E Honeycutt,4425 Old Charlotte Hwy,"Monroe, NC 28110",Union,(704) 289-2741,Chief1900@gmail.com,9002,"4425 Old Charlotte Hwy Monroe, NC 28110",35.0359768,-80.6273419
Mooresville Fire Department,James C Deaton,P.O. Box 878,"Mooresville, NC 28115",Iredell,(704) 664-1338,cdeaton@mooresvillenc.gov,4905,"P.O. Box 878 Mooresville, NC 28115",35.584285,-80.7879407
Enola Volunteer Fire Rescue,Scottie R Godfrey,2559 Enola Rd.,"Morganton, NC 28655",Burke,(828) 438-5934,enola590@bellsouth.net,1259,"2559 Enola Rd. Morganton, NC 28655",35.6624105,-81.6483752
"Salem Community Fire and Rescue Protection Association, Inc",John R Stroup,1315 Salem Rd,"Morganton, NC 28655",Burke,(828) 413-7987,jrstroup@bellsouth.net,1274,"1315 Salem Rd Morganton, NC 28655",35.6957629,-81.699903
Morrisville Fire & Rescue Department,Scott Edward Criddle,260-C Town Hall Drive,"Morrisville, NC 27560",Wake,(919) 539-6069,scriddle@townofmorrisville.org,9212,"260-C Town Hall Drive Morrisville, NC 27560",35.8237605,-78.8306809
"White Plains Volunteer Fire Department, Inc.",Grady Garth Badgett,P.O. Box 7010,"Mount Airy, NC 27030",Surry,(336) 325-5421,badgetg@gmail.com,8678,"P.O. Box 7010 Mount Airy, NC 27030",36.4999641,-80.6053793
"Lake Tillery Fire and Rescue, Inc.",William M Haywood,7913 NC Hwy 73 W,"Mount Gilead, NC 27306",Montgomery,(704) 474-8112,bill.haywood@michelin.com,6210,"7913 NC Hwy 73 W Mount Gilead, NC 27306",35.3026509,-80.0737256
Mount Olive Fire Department,Greg  Wiggins,P.O. Box 939,"Mount Olive, NC 28365-0939",Wayne,(919) 658-3243,movfd@nc.rr.com,9617,"P.O. Box 939 Mount Olive, NC 28365-0939",35.1965531,-78.0663788
No. 9 Township Fire & Rescue,Patrick C Wetherington,3783 NC Highway 55 West,"New Bern, NC 28562",Craven,(252) 636-0055,pwether@suddenlink.net,2509,"3783 NC Highway 55 West New Bern, NC 28562",35.1993791,-77.2051706
New Bern Fire Department,Robert  Boyd,1401 Neuse Blvd,"New Bern, NC 28563",Craven,(252) 639-2931,boydr@newbernnc.gov,2512,"1401 Neuse Blvd New Bern, NC 28563",35.1086376,-77.0563564
"Mill Creek Fire Association, Inc.",Kerry D Jenkins,PO Box 1296,"Newport, NC 28570",Carteret,(252) 247-4777,kdjenkins2013@aol.com,1631,"PO Box 1296 Newport, NC 28570",34.7865497,-76.8591057
Newport Fire Department,James  Whitley,P.O Box 1869,"Newport, NC 28570",Carteret,(252) 223-4510,bwhitley@townofnewport.com,1643,"P.O Box 1869 Newport, NC 28570",34.7865497,-76.8591057
"Vann Crossroads Fire Department, Inc.",Phillip Mark Williams,4550 Church Road,"Newton Grove, NC 28366",Sampson,(910) 594-1093,markw0609@gmail.com,8213,"4550 Church Road Newton Grove, NC 28366",35.1756841,-78.3977237
North Wilkesboro Fire Department,Jimmy  Martin,709 9th Street,"North Wilkesboro, NC 28659",Wilkes,(336) 838-2552,jmartin@north-wilkesboro.com,9712,"709 9th Street North Wilkesboro, NC 28659",36.1645716,-81.1500337
Ocean Isle Fire Department,Herman H Born,105 Causeway Dr,"Ocean Isle Beach, NC 28469",Brunswick,(910) 579-2804,blue@oibgov.com,1007,"105 Causeway Dr Ocean Isle Beach, NC 28469",33.8999502,-78.4399671
"Old Fort Volunteer Fire Department, Inc.",Ronald  Richardson,PO Box 743,"Old Fort, NC 28762",McDowell,(828) 668-4074,rrichardson@oldfortinsurance.com,5607,"PO Box 743 Old Fort, NC 28762",35.6290093,-82.1806697
"Southeast Pamlico Volunteer Fire Department and EMS, Inc.",Michael Charles Guzzo,PO Box 429,"Oriental, NC 28571",Pamlico,(252) 349-0400,mike@ncsouthernhospitality.com,6902,"PO Box 429 Oriental, NC 28571",35.0309956,-76.6929867
"Otto Volunteer Fire and Rescue, Inc.",Terry  Rholetter,60 Firehouse Road,"Otto, NC 28763",Macon,(828) 524-3473,trholetter@gmail.com,5704,"60 Firehouse Road Otto, NC 28763",35.0575529,-83.3877444
"Pungo River Volunteer Fire Department, Inc.",Tony  Harris,40 Pike Road,"Pantego, NC 27860",Beaufort,(252) 935-5200,prfirehouse@rsnet.org,715,"40 Pike Road Pantego, NC 27860",35.682918,-76.6284327
"Parkton Fire and Rescue, Inc",Edward C Nowak,2704 W. Parkton Tobermory Rd,"Parkton, NC 28371",Robeson,(910) 978-3527,parktonfirerescue@gmail.com,7813,"2704 W. Parkton Tobermory Rd Parkton, NC 28371",34.8989436,-79.0034421
"Little River Fire Department of Transylvania County, Inc.",Jason L Merrill,P.O. Box 241,"Penrose, NC 28766",Transylvania,(828) 553-1671,jasonm@tcsnc.org,8811,"P.O. Box 241 Penrose, NC 28766",35.2478554,-82.6213311
Pittsboro Volunteer Fire and Rescue Department Inc.,William Daryl Griffin,P.O. Box 573,"Pittsboro, NC 27312",Chatham,(919) 542-4101,daryl@pittsborofire.com,1906,"P.O. Box 573 Pittsboro, NC 27312",35.7201463,-79.1772371
"Pleasant Garden Fire Department, Incorporated",Chad  Garret,Post Office Box 710,"Pleasant Garden, NC 27313",Guilford,(336) 674-5619,cgarrett@pgfd3.com,4120,"Post Office Box 710 Pleasant Garden, NC 27313",35.9217252,-79.7512033
"Puppy Creek Fire Department, Inc.",John M Joseph,445 Pittman Grove Church Road,"Raeford, NC 28376",Hoke,(910) 875-5283,puppycreekfd@hokecounty.org,4703,"445 Pittman Grove Church Road Raeford, NC 28376",35.0260085,-79.1180275
Raeford Fire Department,Donald Ray Smith,415 E. Prospect Ave.,"Raeford, NC 28376",Hoke,(910) 875-5150,instructord10@yahoo.com,4710,"415 E. Prospect Ave. Raeford, NC 28376",34.9846735,-79.2183716
"Durham Highway Fire Protection Asso., Inc.",David B. McNulty,11905 Norwood Road,"Raleigh, NC 27613",Wake,(919) 676-4187,mcnultyd@dhfd.org,9204,"11905 Norwood Road Raleigh, NC 27613",35.9303773,-78.7212929
Raleigh Durham Airport Fire Department,Russell Glen Stanley,PO Box 80001,"Raleigh, NC 27623",Wake,(919) 840-7617,russell.stanley@rdu.com,9228,"PO Box 80001 Raleigh, NC 27623",35.7795897,-78.6381787
Ramseur Volunteer Fire Department,Jerry B. Ledwell,P.O. Box 551,"Ramseur, NC 27316",Randolph,(336) 736-9384,firestation471@embarqmail.com,7610,"P.O. Box 551 Ramseur, NC 27316",35.7334711,-79.6525267
Randleman Fire Department,Marty  Leonard,204 South Main Street,"Randleman, NC 27317",Randolph,(336) 495-7530,mleonard@cityofrandleman.com,7611,"204 South Main Street Randleman, NC 27317",35.816221,-79.8037804
Red Springs Fire Department,John Graham Ammons,133 N. Main Street,"Red Springs, NC 28377",Robeson,(910) 843-2828,redspringsfiredepartment@yahoo.com,7817,"133 N. Main Street Red Springs, NC 28377",34.817414,-79.1824081
"Volunteer Fire Department Of Bethany, Inc.",Joshua Michael Evans,6052 NC Hwy. 65,"Reidsville, NC 27320",Rockingham,(336) 951-2155,bfdchief140@gmail.com,7901,"6052 NC Hwy. 65 Reidsville, NC 27320",36.3109007,-79.8487998
"Wentworth Voluntary Fire Department, Inc.",Forrest L Bedell,8365 N.C. 87,"Reidsville, NC 27320",Rockingham,(336) 342-2795,chief30@triad.twcbc.com,7912,"8365 N.C. 87 Reidsville, NC 27320",36.3849505,-79.7434605
"Acme-Delco-Riegelwood Fire-Rescue, Inc.",Stephen W Camlin,P.O. Box 187,"Riegelwood, NC 28456",Columbus,(910) 655-3117,wrench175@att.net,2401,"P.O. Box 187 Riegelwood, NC 28456",34.3398905,-78.2252766
Roanoke Rapids Fire Department,Jason  Patrick,PO Box 38,"Roanoke Rapids, NC 27870",Halifax,(252) 533-2880,jpatrick@roanokerapidsnc.com,4208,"PO Box 38 Roanoke Rapids, NC 27870",36.4615395,-77.6541464
"Roaring River Volunteer Fire Department, Inc.",Mckinley Dale Pierce,P.O. Box 175,"Roaring River, NC 28669",Wilkes,(336) 696-2918,rrvfd29@gmail.com,9714,"P.O. Box 175 Roaring River, NC 28669",36.206522,-81.0036885
"East Rockingham Fire Department, Inc.",William E. Bayless,487 Airport Road,"Rockingham, NC 28379",Richmond,(910) 331-4294,baylessb@earthlink.net,7704,"487 Airport Road Rockingham, NC 28379",34.9059722,-79.7631623
Rockwell City Fire Department,Timothy C Linker,P.O. Box 1086,"Rockwell, NC 28138",Rowan,(704) 279-2921,tim.linker@rockwellnc.gov,8070,"P.O. Box 1086 Rockwell, NC 28138",35.5512508,-80.4064485
"Rockwell Rural Fire Department, Incorporated",Alan  Shinn,P.O. Box 69,"Rockwell, NC 28138",Rowan,(704) 279-2171,fire71man@yahoo.com,8071,"P.O. Box 69 Rockwell, NC 28138",35.5512508,-80.4064485
"West Mount Volunteer Fire Department, Inc.",Johnny R Baines,7955 West Mount Drive,"Rocky Mount, NC 27803",Nash,(252) 937-4741,jbaines@eastern-environmental.com,6413,"7955 West Mount Drive Rocky Mount, NC 27803",35.913936,-77.8737525
Beaver Dam Volunteer Fire Department of Cumberland County,Gary G Brock,11042 NC Hwy 210 S,"Roseboro, NC 28382",Cumberland,(910) 531-4171,ST26@intrstar.net,2629,"11042 NC Hwy 210 S Roseboro, NC 28382",34.9155866,-78.5981526
"Rowland Rural Fire Department, Inc.",Joe K. McGirt,P.O. Box 805,"Rowland, NC 28383-0805",Robeson,(910) 374-5333,rfd307@bellsouth.net,7819,"P.O. Box 805 Rowland, NC 28383-0805",34.5365518,-79.2914306
Rural Hall Fire And Rescue,Andy Gray Marshall,P.O. Box 550,"Rural Hall, NC 27045",Forsyth,(336) 969-9171,amarshall@ruralhall.com,3414,"P.O. Box 550 Rural Hall, NC 27045",36.2404158,-80.2933838
"Lovelady Volunteer Fire & Rescue Department, Incorporated",Nick Earl Reed,P.O. Box 126,"Rutherford College, NC 28671",Burke,(828) 879-9801,loveladyfirerescue63@gmail.com,1263,"P.O. Box 126 Rutherford College, NC 28671",35.7527055,-81.5260574
"Salemburg Volunteer Fire Dept., Inc.",Robert S Owen,P.O. Box 240,"Salemburg, NC 28385",Sampson,(910) 525-4414,sfd7@intrstar.net,8210,"P.O. Box 240 Salemburg, NC 28385",35.0154469,-78.5030622
"Deep River Rural Fire Department, Inc.",Jacob F Newton,5107 Deep River Road,"Sanford, NC 27330",Lee,(919) 774-9622,jacobdrfd4@yahoo.com,5302,"5107 Deep River Road Sanford, NC 27330",35.6049972,-79.1336416
Sanford Fire Department,Wayne  Barber,P.O. Box 3729,"Sanford, NC 27331-3729",Lee,(919) 775-8310,wayne.barber@sanfordnc.net,5304,"P.O. Box 3729 Sanford, NC 27331-3729",35.5241174,-79.1379448
"Severn Volunteer Fire Department, Incorporated",Dennis R Woodard,P.O. Box 406,"Severn, NC 27877",Northampton,(252) 585-1445,severn_vfd@yahoo.com,6606,"P.O. Box 406 Severn, NC 27877",36.5174754,-77.1930872
Shallotte Fire Department,Paul F Dunwell,P.O. Box 2287,"Shallotte, NC 28459",Brunswick,(910) 754-6262,shallottefd@gmail.com,1008,"P.O. Box 2287 Shallotte, NC 28459",33.94,-78.41
"Cleveland County Volunteer Fire Department, Inc.",Donald Clint Beam,221 East Graham Street,"Shelby, NC 28150",Cleveland,(704) 487-5335,clint.beam@cityofshelby.com,2306,"221 East Graham Street Shelby, NC 28150",35.2898047,-81.5380199
"Silk Hope Volunteer Fire Department, Inc.",Mark  Gaines,8110 Silk Hope-Gum Springs Rd.,"Siler City, NC 27344",Chatham,(919) 742-5874,silkhopevfd@yahoo.com,1908,"8110 Silk Hope-Gum Springs Rd. Siler City, NC 27344",35.7797785,-79.3711935
"Snow Camp Volunteer Fire Department, Inc.",Wayne Eugene Wellons,P. O. Box 577,"Snow Camp, NC 27349",Alamance,(336) 376-3442,chief6scvfd@gmail.com,111,"P. O. Box 577 Snow Camp, NC 27349",35.8934716,-79.4300199
"Shine Rural Volunteer Fire and EMS Association, Inc.",Jeremy W Anderson,1194 Oakdale Road,"Snow Hill, NC 28580",Greene,(252) 747-7452,shinefirechief@gmail.com,4009,"1194 Oakdale Road Snow Hill, NC 28580",35.4320944,-77.790419
Boiling Spring Lakes Fire Rescue,Theresa Theresa Tickle,3059 George II Hwy,"Southport, NC 28461",Brunswick,(910) 547-6347,ttickle999@gmail.com,1001,"3059 George II Hwy Southport, NC 28461",34.0322674,-78.0676224
"Wayside Volunteer Fire Department, Inc.",Mark  Rackley,234 Bethesda Road,"Statesville, NC 28677",Iredell,(704) 872-9421,mrackley@waysidevfd.org,4914,"234 Bethesda Road Statesville, NC 28677",35.7509236,-80.8065776
"Stedman Volunteer Fire Department, Inc.",Justin C Nobles,7595 Clinton Road,"Stedman, NC 28391",Cumberland,(910) 323-2592,jnobles@stedmanfire.com,2617,"7595 Clinton Road Stedman, NC 28391",35.0121931,-78.6896415
"Stokesdale Fire District, Inc.",Todd  Gauldin,8401 US Hwy 158,"Stokesdale, NC 27357",Guilford,(336) 643-0790,t.gauldin@stokesdalefire.com,4122,"8401 US Hwy 158 Stokesdale, NC 27357",36.253766,-79.9864071
"Shiloh Community Fire Protection Association, Inc.",Robert S Stanley,3320 Settle Bridge Road,"Stoneville, NC 27048",Rockingham,(336) 382-9405,rstanley120@gmail.com,7909,"3320 Settle Bridge Road Stoneville, NC 27048",36.4494985,-79.8655148
"Stovall Volunteer Fire Department, Inc.",Jason  Tingen,P.O. Box 323,"Stovall, NC 27582",Granville,(919) 693-5290,jtingen903@gmail.com,3912,"P.O. Box 323 Stovall, NC 27582",36.4454407,-78.5675047
"Summerfield Fire District, Inc.",Christopher B Johnson,7400 Summerfield Rd.,"Summerfield, NC 27358",Guilford,(336) 643-4341,cjohnson@summerfieldfire.com,4123,"7400 Summerfield Rd. Summerfield, NC 27358",36.1985745,-79.9006629
"Tri-Beach Volunteer Fire Department, Inc.",Roy D Todd,"854 Sabbath Home Rd., S.W.","Supply, NC 28462",Brunswick,(910) 842-2333,dtoddtbfdchief@atmc.net,1012,"854 Sabbath Home Rd., S.W. Supply, NC 28462",33.9320663,-78.2630495
"Swannanoa Volunteer Fire Department & Rescue Squad, Inc.",Anthony J Penland,P.O. Box 177,"Swannanoa, NC 28778",Buncombe,(828) 688-3335,chief@svfd.net,1117,"P.O. Box 177 Swannanoa, NC 28778",35.5978935,-82.3998431
Tabor City Fire Department,Jeffrey Devone Fowler,113 West 4th Street,"Tabor City, NC 28463",Columbus,(910) 653-4160,tcfdchief1100@gmail.com,2411,"113 West 4th Street Tabor City, NC 28463",34.1475516,-78.8786557
"Tar Heel Rural Volunteer Fire Department, Inc.",David J Hunsinger,PO Box 189,"Tar Heel, NC 28392",Bladen,(910) 862-4075,davidh5700@gmail.com,907,"PO Box 189 Tar Heel, NC 28392",34.7332237,-78.7900213
"Bethlehem Community Fire & Rescue, Inc.",Ashley D Starnes,7373 NC Hwy 127,"Taylorsville, NC 28681",Alexander,(828) 217-7557,chief@bethlehemcommunityfire.com,201,"7373 NC Hwy 127 Taylorsville, NC 28681",35.8435712,-81.308952
"Ellendale Community Volunteer Fire Department, Inc.",David  White,PO Box 1261,"Taylorsville, NC 28681",Alexander,(828) 632-2611,dawpaw1949@yahoo.com,202,"PO Box 1261 Taylorsville, NC 28681",35.8018715,-81.2964923
"Union Mills Volunteer Fire Department, Inc.",Burl D Conner,6791 Hudlow Road,"Union Mills, NC 28167",Rutherford,(828) 287-7206,umvfd.chief@gmail.com,8112,"6791 Hudlow Road Union Mills, NC 28167",35.4904973,-81.9776428
Valdese Fire Department,Gregory Scott Stafford,P. O. Box 339,"Valdese, NC 28690",Burke,(828) 879-2110,gstafford@valdesenc.gov,1260,"P. O. Box 339 Valdese, NC 28690",35.7394183,-81.5706109
"Vanceboro Rural Volunteer Fire Department, Inc.",Stacey Allen Lewis,P.O. Box 447,"Vanceboro, NC 28586",Craven,(252) 639-2932,vanceboro6@yahoo.com,2514,"P.O. Box 447 Vanceboro, NC 28586",35.3084953,-77.1541194
"Crains Creek Volunteer Fire Department, Inc.",Kenneth R Mackey,P.O. Box 999,"Vass, NC 28394",Moore,(910) 245-4331,crainscreekvfd@pinehurst.net,6323,"P.O. Box 999 Vass, NC 28394",35.2562684,-79.2822491
"Waco Community Volunteer Fire Department, Inc.",Brent  Gordon,P.O. Box 370,"Waco, NC 28169",Cleveland,(704) 435-3212,bgordon@wacovfd.org,2316,"P.O. Box 370 Waco, NC 28169",35.3611101,-81.4284134
