Facility,Industry,State,Latitude,Longitude,Total
A WILBERT'S SONS LLC 88 #2 PRODUCTION FACILITY,Oil and Gas, LA,30.482175,-91.254997,1
A WILBERT'S SONS LLC 88 #2 PRODUCTION FACILITY,Oil and Gas, LA,30.48535,-91.43407,1
A WILBERT'S SONS LLC 93 #1 PRODUCTION FACILITY,Oil and Gas, LA,30.47825,-91.45428,1
A WILBERT'S SONS LLC 93 #1 PRODUCTION FACILITY,Oil and Gas, LA,30.482175,-91.254997,1
A WILBERTS SONS LLC 94 #1 TANK BATTERY - ERWINVILLE FIELD,Oil and Gas, LA,30.48127,-91.44379,1
A WINDOW,Glass Products, TX,32.7115,-97.22261,1
A WINDOW,Plastics and Resins, TX,32.7115,-97.22261,1
A ZARATE TRANSPORT,Waste Management, CA,35.050315,-120.50313,1
A&A ANTIQUE RESTORATION,Furniture and Carpet, CA,33.782319,-118.170922,1
A&A CO INC,Metal Coating, NJ,40.57439,-74.43065,1
A&A COATING,Metal Coating, TX,32.971388,-94.663333,1
A&A CONCRETE SUPPLY INC CHICO PLANT,Cement Mfg, CA,39.78215,-121.88718,1
A&A DEBURRING & TUMBLING INC,Metal Coating, CA,33.72488,-117.85256,1
A&A ENVIRONMENTAL SVCS,Waste Management, MD,39.22277,-76.65939,1
A&A INDUSTRIES,Metal Machinery Mfg, MA,42.52116,-70.97512,1
A&AT,Chemical Mfg, TX,29.69797,-95.03339,1
A&B INDUSTRIES OF MORGAN CITY DRY DOCK YARD,Paper Mills and Products, LA,29.682709,-91.102044,1
A&B SANDBLAST COMPANY,Metal Coating, CA,33.99386,-118.22846,1
A&C CATALYSTS INC,Plastics and Resins, NJ,40.62069,-74.26752,1
A&D CAMPING  LLC (BLUE RIDGE RV RESORT WPCP),Waste Management, GA,34.888248,-84.188193,1
A&E METAL FINISHING INC,Metal Coating, MN,45.08518,-93.39066,1
A&E TIRE,Consumer Products, CO,39.79098,-104.94215,1
A&E TIRE & RECYCLING,Metal Coating, WI,43.070399,-87.953936,1
A&F ELECTROPLATING INC,Metal Coating, NJ,40.78021,-74.236419,1
A&H FARMS 7-1 - S FULTON FIELD,Oil and Gas, LA,30.413001,-93.103225,1
A&J HAULING,Petroleum, CA,37.881982,-122.18749,1
A&J PLATING CO INC,Metal Coating, IL,41.927672,-87.828221,1
A&L LITHO INC,Printing, CA,33.1117,-117.11439,1
A&M BIOMEDICAL INC,Metal Machinery Mfg, CA,33.623227,-117.728007,1
A&M COMPOSTING FAC,Waste Management, PA,40.21874,-76.41431,1
A&M ELECTRONICS INC.,Electronics Industry, CA,34.4354,-118.57118,1
A&M ENGINEERING INC,Metal Machinery Mfg, CA,34.10867,-117.93536,1
A&M PRODUCTS MANUFACTURING COMPANY,Chemical Mfg, WV,39.390173,-78.020615,1
A&N ENERGY SYSTEMS INC,Oil and Gas, IL,40.465914,-89.031809,1
A&P FOOD STORE,Waste Management, LA,31.275634,-92.477405,1
A&R EXECUTIVE PRINTING  INC.,Printing, FL,25.898381,-80.179533,1
A&S ENVIRONMENTAL RECOVERY INC,Waste Management, CA,34.02172,-118.23206,1
A&S FINISHING  LLC,Metal Coating, CA,34.24632,-118.58114,1
A&S INDUSTRIAL COATINGS,Metal Coating, NV,39.525798,-119.740825,1
A&Z GRINDING INC,Metal Coating, CA,33.96771,-118.24624,1
A. HARRISON & CO.  INC.,Chemical Mfg, RI,41.86278,-71.42515,1
A. J. HALL INC.  EXXON DISTRIBUTOR,Petroleum, TN,36.220469,-86.299679,1
A. L. GEBHARDT CO. INC. - BRUCE,Textiles and Leather, WI,43.025709,-87.927309,1
A. MANNING LYNCH WASTEWATER TREATMENT FACILITY,Waste Management, SC,34.914444,-81.904444,1
A. P. NONWEILER CO.  INC.,Paints and Coatings, WI,44.070899,-88.527748,1
A. RAYMOND TINNERMAN MANUFACTURING  INC,Metal Coating, IN,40.729277,-86.386295,1
A. RAYMOND TINNERMAN MANUFACTURING  INC,Metal Machinery Mfg, IN,40.729277,-86.386295,1
A. SOSA INDUSTRIES INC,Metal Machinery Mfg, FL,25.81101,-80.25656,1
A.A.A. PLATING INDUSTRIES  INC.,Metal Coating, TN,36.209631,-86.747953,1
A.C. ELECTRIC CORP.,Electronics Industry, ME,44.06834,-70.27493,1
A.C.M.S.  INC.,Waste Management, FL,28.741075,-82.089555,1
A.C.M.S.  INC.,Waste Management, FL,28.743151,-82.091653,1
A.F.L. QUALITY  INC. (DBA. A.F.L. WEB PRINTING),Printing, NJ,39.8503,-74.98148,1
A.G. COMMUNICATIONS SYSTEMS,Electronics Industry, IL,41.91501,-87.910363,1
A.G. GERRARD & CO.,Metal Machinery Mfg, IL,42.00874,-87.91246,1
A.G. LAYNE PHOENIX  INC.,Chemical Mfg, AZ,33.41159,-112.04709,1
A.M FINISHING INC,Paints and Coatings, CA,33.828874,-117.901733,1
A.M. METAL FINISHING INC.,Metal Coating, FL,28.45374,-81.41222,1
A.M. TRIPP NCT-1 NO. 2,Oil and Gas, WY,41.515579,-109.465402,1
A.M. TRIPP NCT-1 NO. 3,Oil and Gas, WY,41.515579,-109.465402,1
A.O. SCHUMANN LEASE,Oil and Gas, TX,27.797806,-97.395694,1
A.P. BOULDIN D/B/A,Metal Coating, TN,35.678282,-85.777363,1
A.R.E. ACCESSORIES  LLC (1576131793),Plastics and Resins, OH,40.76606,-81.51439,1
A.R.E.  INC.,Plastics and Resins, NV,39.551703,-119.070105,1
A.S.A. MFG.  INC,Plastics and Resins, FL,29.062463,-82.366471,1
A+ COLOR GRAPHICS,Printing, FL,25.786572,-80.326664,1
A+ TRAILER AND FABRICATION INC,Metal Machinery Mfg, FL,30.051357,-83.166732,1
A-1 AMERICAN METAL REFINISHING INC,Furniture and Carpet, FL,26.77553,-80.06595,1
A-1 AUTO AND METAL STRIPPING,Metal Coating, CO,39.77459,-105.1709,1
A1 BIOCHEM LABS,Chemical Mfg, NC,34.142837,-77.870723,1
A-1 CHROME & POLISHING CORP,Metal Coating, CT,41.67429,-72.74912,1
A-1 CHROME PLATING,Metal Coating, TX,29.63444,-95.2744,1
A1 CREATIVE PACKAGING - WHITEWATER STORAGE,Printing, WI,42.857272,-88.689653,1
A-1 DISPOSAL INC,Waste Management, MI,42.593829,-85.908298,1
A-1 DISPOSAL SERVICE  INC.,Waste Management, IA,41.92639,-91.68951,1
A-1 FIBERGLASS,Metal Coating, NE,40.87346,-98.02292,1
A-1 FIBERGLASS,Plastics and Resins, KS,39.132163,-97.684125,1
A-1 FIBERGLASS,Plastics and Resins, NE,40.56498,-98.3125,1
A-1 NATIONAL LIQUIDS,Waste Management, AR,33.552583,-93.901417,1
A1 OIL RECYCLING LLC,Waste Management, CA,34.067385,-118.406646,1
A-1 PAINTING/POWDER CTNG/SANDBLASTNG CO,Metal Coating, MO,39.09705,-94.49413,1
A-1 PLATING,Electronics Industry, CA,37.368992,-121.95029,1
A-1 PLATING,Metal Coating, CA,37.368992,-121.95029,1
A-1 PLATING,Metal Coating, NV,36.06923,-114.99709,1
A-1 PLATING (CARCINOGEN),Metal Coating, MD,39.28827,-76.56251,1
A1 PLATING COMPANY,Metal Coating, AL,34.69586,-87.66484,1
A-1 PLATING COMPANY,Metal Coating, CA,38.60558,-121.46655,1
A1 PRECIOUS METAL PLATING INC,Metal Coating, MA,42.510688,-71.146453,1
A-1 QUALITY SCREENPRINTING,Textiles and Leather, IA,41.96309,-91.69968,1
A-1 SANDBLASTING,Metal Coating, OH,39.98563,-82.968,1
A-1 SEPTIC,Waste Management, MO,37.666908,-91.679505,1
A-1 SHIPLEY'S WASTE OIL  INC.,Petroleum, TN,35.07543,-85.25632,1
A-1 STRIPPING,Furniture and Carpet, IL,41.879689,-87.798798,1
A-1 SUPERIOR INC,Plastics and Resins, FL,28.19432,-82.62601,1
A1 TRASH SERVICE LANDFILL,Waste Management, MO,37.106419,-93.83401,1
A10-100B DPS FIRE TRAINING FACILITY,Fire Training, TX,32.7936,-97.366384,1
A-1O HUTT COMPRESSOR STATION,Oil and Gas, TX,31.827142,-101.906572,1
A2Z PLATING,Metal Coating, CA,34.013304,-118.179022,1
AA 1 PLATING,Metal Coating, NV,36.06922,-114.99593,1
AA BRUNELL ELECTROPLATING CO,Metal Coating, MA,42.23968,-71.82377,1
AA ENVIRONMENTAL,Waste Management, CO,39.69443,-104.90147,1
AA SAV CORP,Metal Machinery Mfg, IL,38.51668,-89.95541,1
AA SEPTIC PUMPING INC,Chemical Mfg, FL,30.320556,-81.793333,1
AA SEPTIC PUMPING INC,Textiles and Leather, FL,30.320556,-81.793333,1
AA SULFURIC CORP - SULFURIC ACID PLANT,Chemical Mfg, LA,30.21826,-91.05714,1
AA SYDCOL LLC,Waste Management, AZ,32.704078,-114.593416,1
AAA ADVANCE FINISHING INC,Paints and Coatings, CA,33.92761,-118.27824,1
AAA ASSOCIATES INC,Plastics and Resins, MI,41.77258,-86.25493,1
AAA BLAST COTE FACILITY,Metal Coating, TX,29.56764,-95.19268,1
AAA CLEANING FACILITIES NO 1 7 NO 2,Metal Coating, TX,29.565822,-95.193147,1
AAA COATINGS INC,Metal Coating, TN,35.948601,-85.837063,1
AAA CUSTOM PLATING CO,Metal Coating, OH,41.714888,-81.236948,1
AAA DISTRIBUTION CENTER,Printing, FL,27.954669,-82.530616,1
AAA ELECTRIC MOTOR SALES & SERVICE  INC.,Electronics Industry, CA,34.04345,-118.28334,1
AAA GALVANIZING CHE/CHELSEA FACILITY,Metal Coating, OK,36.522482,-95.446975,1
AAA GALVANIZING-HAMILTON INC. DBA AZZ GALVANIZING,Metal Coating, IN,41.53108,-84.93158,1
AAA GLASS CORP,Glass Products, CA,34.021205,-118.21825,1
AAA INDUSTRIAL CHROME CO,Metal Coating, TX,32.75802,-97.34987,1
AAA INDUSTRIAL CHROMIUM,Metal Coating, TX,32.758021,-97.349556,1
AAA METAL FINISHING INC,Metal Coating, MN,44.96041,-93.107261,1
AAA METAL FINISHING INC - RIC,Metal Coating, MN,44.961984,-93.106213,1
AAA METAL REFINISHING & CHROME,Metal Coating, FL,27.960393,-82.425753,1
AAA MOLYBDENUM PRODUCTS INC,Chemical Mfg, CO,39.90879,-105.07782,1
AAA PETROLEUM  INCORPORATED,Petroleum, MO,38.798166,-90.47255,1
AAA PLATING,Metal Coating, CA,38.64359,-121.41731,1
AAA PLATING,Waste Management, CA,38.64359,-121.41731,1
AAA PLATING & INSPECTION  INC,Metal Coating, CA,33.92184,-118.22169,1
AAA PLATING INC,Metal Coating, CO,39.763908,-104.981893,1
AAA PLATING INC,Metal Coating, TN,36.20968,-86.74778,1
AAA POLISHING & PLATING INC,Metal Coating, LA,30.46724,-91.1144,1
AAA PRINTING INC,Printing, FL,27.875623,-82.733059,1
AAA RESTORATIONS  INC,Furniture and Carpet, MD,38.931708,-76.930877,1
AAA TRANSMISSION,Metal Machinery Mfg, AZ,32.86928,-111.7441,1
AACOA INC,Metal Coating, IN,41.703889,-85.988333,1
AACOM SYSTEMS,Electronics Industry, CA,37.98364,-122.04841,1
AACRON INC,Metal Coating, MN,45.00897,-93.45801,1
AACTRON INC,Metal Coating, MI,42.5087,-83.11811,1
AAD BAKERSFIELD SITE,Waste Management, CA,35.38949,-119.04597,1
AAD PARAMOUNT SITE,Waste Management, CA,33.88361,-118.16663,1
AADG INC GRAHAM WOOD DOORS,Glass Products, IA,43.1338,-93.24055,1
AAFB STRATEGIC PLANNING AND DEVELOPMENT FACILITY,National Defense, MD,38.80924,-76.8882,1
AAFCO,Metal Coating, RI,41.877254,-71.390306,1
AAFI,Chemical Mfg, GA,34.79964,-84.94631,1
AAG ENVIRONMENTAL INC,Waste Management, FL,29.65465,-82.60833,1
AAG ENVIRONMENTAL INC,Waste Management, GA,33.875097,-84.02998,1
AAG ENVIRONMENTAL INC,Waste Management, GA,33.97084,-83.98611,1
AAI CORP,Electronics Industry, MD,39.46585,-76.64277,1
AALBERTS INTEGRATED PIPING SYSTEM AMERICAS,Metal Machinery Mfg, SC,34.771667,-80.393333,1
AALBERTS ST,Metal Coating, TN,35.12214,-84.91058,1
AALBERTS SURFACE TREATMENT,Metal Coating, GA,33.5542,-84.585,1
AALBERTS SURFACE TREATMENT,Metal Coating, MD,39.27145,-76.6603,1
AALBERTS SURFACE TREATMENT CORPORATION,Metal Coating, WI,43.1698,-88.01829,1
AAM-RO CORP,Metal Coating, IL,41.91258,-87.6866,1
AA-ONE LITHOGRAPH INCORPORATED,Printing, CA,33.70871,-117.86342,1
AAPHARMASYN LLC,Chemical Mfg, MI,42.230723,-83.734572,1
AAR AIRCRAFT SERVICES INDIANAPOLIS,Airports, IN,39.72393,-86.32306,1
AAR AIRLIFT GROUP,Airports, FL,28.109848,-80.647445,1
AAR AIRLIFT GROUP - WAREHOUSE,Airports, FL,28.09442,-80.66426,1
AAR AIRLIFT GROUP - WAREHOUSE,Furniture and Carpet, FL,28.09442,-80.66426,1
AAR AIRLIFT GROUP INC,Airports, FL,28.109895,-80.6465,1
AAR COMPOSITES,Plastics and Resins, FL,27.899756,-82.709973,1
AAR INC / 6611 S MERIDIAN,Airports, OK,35.400091,-97.601503,1
AAR MANUFACTURING INC,Metal Machinery Mfg, MI,44.2607,-85.418,1
AAR MOBILITY SYSTEMS,Metal Machinery Mfg, MI,44.2511,-85.408,1
AAR MOBILITY SYSTEMS,Metal Machinery Mfg, MI,44.26082,-85.416942,1
AAR-ATICS,Metal Machinery Mfg, CA,38.662965,-121.3907,1
AARBERG PRINTING INKS CO,Chemical Mfg, TN,36.54426,-82.58539,1
AARCO ENVIRONMENTAL SERVICES,Waste Management, NY,40.71475,-73.39475,1
AARDS TRASH SERVICE,Waste Management, KS,39.0769,-95.67317,1
AARDVARK PAPER DRINKING STRAWS,Paper Mills and Products, IN,41.14525,-85.17615,1
AAREN BENSON / SIXMILE-RESURRECTION CREEK,Mining and Refining, AK,63.346191,-152.837068,1
AAREN BENSON / STETSON CREEK,Mining and Refining, AK,62.13,-145.85,1
AARGUS PLASTICS INC,Plastics and Resins, IL,42.05319,-87.88901,1
AARGUS PLASTICS INC,Plastics and Resins, IL,42.147148,-87.929689,1
AARON BORENGASSER,Waste Management, AR,34.731278,-92.584944,1
AARON ENVIRONMENTAL  INC.,Petroleum, MD,39.28779,-76.56295,1
AARON FARL DESHIELDS DBA A AND M TRUCKING,Waste Management, CA,38.31714,-121.96689,1
AARON FERER & SONS CO,Printing, NE,41.31692,-95.917,1
AARON INDUSTRIES,Chemical Mfg, SC,34.444202,-81.888734,1
AARON OIL,Petroleum, LA,29.696294,-91.221637,1
AARON OIL CO INC,Petroleum, AL,30.80771,-88.0666,1
AARONS CREEK BAPTIST CHURCH,Waste Management, VA,36.660199,-78.722716,1
AARON'S SEPTIC PUMPING,Waste Management, MO,36.57969,-91.922531,1
AARON'S WATER SERVICE  ORIN JCT. FACILITY,Petroleum, WY,42.651474,-105.179674,1
AAVID THERMACORE INC,Metal Machinery Mfg, PA,40.07149,-76.28985,1
AAVID THERMALLOY,Electronics Industry, NH,43.54687,-71.491314,1
AAVID THERMALLOY LLC,Electronics Industry, TX,32.92248,-96.90823,1
AAVID THERMALLOY  LLC,Electronics Industry, NH,43.541891,-71.489227,1
A-AZTEC RENTS & SELLS LLC,Textiles and Leather, CA,33.84141,-118.351981,1
AB & W INCORPORATED,Metal Machinery Mfg, MA,42.346179,-71.146423,1
AB DICK CO,Metal Machinery Mfg, IL,42.01199,-87.78656,1
AB DIRT INC,Waste Management, FL,28.83042,-80.84486,1
AB GROUP THE,Metal Coating, MA,41.93448,-71.29213,1
AB SPECIALTY SILICONES LLC,Chemical Mfg, IL,42.394985,-87.893133,1
AB SUPERFINE METAL FINISHERS INC,Metal Coating, IL,42.014143,-87.722428,1
AB WITT CDP,Oil and Gas, OK,35.435,-99.911,1
ABA ENERGY CORP - VBC #1,Oil and Gas, CA,39.90063,-122.45034,1
ABA ENERGY CORP MAULHARDT LEASE OXNARD OILFIELD,Oil and Gas, CA,34.187225,-119.14624,1
ABACUS CONTROLS INC,Electronics Industry, NJ,40.59526,-74.69699,1
ABACUS GROUP  INC,Metal Coating, CA,34.04964,-118.03934,1
ABADAN REPROGRAPHICS INC,Printing, CO,39.68204,-104.8771,1
ABANDONED HOME LIVE FIRE TRAINING SITE/YARDLEY,Fire Training, PA,40.19385,-74.8677,1
ABARTA OIL & GAS CO INC/CLARION COMP STA,Oil and Gas, PA,41.12,-79.48,1
ABATE AND URSILLO,Metal Coating, RI,41.852451,-71.485537,1
ABB INC,Electronics Industry, MS,34.591608,-89.955668,1
ABB INC,Metal Coating, SC,34.24271,-79.78679,1
ABB INC.,Electronics Industry, FL,29.292506,-81.115716,1
ABB INC.,Metal Coating, FL,29.292506,-81.115716,1
ABB INC.,Metal Coating, MI,42.70784,-83.27349,1
ABB INC.,Metal Machinery Mfg, MI,42.70784,-83.27349,1
ABB INC-GUILFORD,Electronics Industry, NC,36.07276,-79.75116,1
ABB INSTALLATION PRODUCTS,Electronics Industry, NJ,40.820153,-74.83216,1
ABB INSTALLATION PRODUCTS CARIBE,Plastics and Resins, PR,18.4496,-66.389,1
ABB INSTALLATION PRODUCTS INC,Electronics Industry, FL,29.328238,-81.114181,1
ABB INSTALLATION PRODUCTS INC,Metal Coating, FL,29.328238,-81.114181,1
ABB INSTALLATION PRODUCTS INC.,Metal Coating, TN,35.44304,-84.62955,1
ABB INSTALLATION PRODUCTS R&D,Electronics Industry, NJ,40.83306,-74.82278,1
ABB INSTALLATION PRODUCTS  INC.,Electronics Industry, MS,34.98536,-89.999,1
ABB INSTALLATION PRODUCTS  INC.,Electronics Industry, NM,35.086253,-106.712228,1
ABB INSTALLATION PRODUCTS  INC.,Metal Coating, MS,34.98536,-89.999,1
ABB POWER PROTECTION LLC D/B/A ABB INSTALLATION PRODUCTS  INC.,Metal Machinery Mfg, AR,35.82087,-90.62616,1
ABB POWER T&D COMPANY  INC. ,Electronics Industry, TN,35.87417,-85.86946,1
ABBA BUSINESS & MAIL CTR,Printing, CO,39.703858,-104.987539,1
ABBA PRINTING.CN,Printing, CO,39.76922,-104.9263,1
ABBEVILLE CENTRAL FACILITY #1,Oil and Gas, LA,29.978819,-92.112851,1
ABBEVILLE COUNTY LANDFILL,Waste Management, SC,34.219167,-82.517849,1
ABBEVILLE COUNTY SUBTITLE D MSWLF,Waste Management, SC,34.219167,-82.517849,1
ABBEVILLE GEN HOSP,Waste Management, LA,29.972149,-92.10698,1
ABBEVILLE POTW,Waste Management, MS,34.504633,-89.504902,1
ABBEVILLE PRODUCTION FACILITY - ABBEVILLE FIELD,Oil and Gas, LA,29.978819,-92.112851,1
ABBEVILLE SANITARY LANDFILL,Waste Management, AL,31.535488,-85.231734,1
ABBEVILLE  CITY OF (ABBEVILLE WPCP),Waste Management, GA,31.996317,-83.298019,1
ABBEY COLOR INC,Paints and Coatings, PA,40.00236,-75.12179,1
ABBEY COLOR INC,Petroleum, PA,40.00236,-75.12179,1
ABBEY FINISHING CORP,Metal Coating, IL,41.866282,-87.737756,1
ABBEY PRESS  INC,Printing, CA,37.76294,-122.22052,1
ABBEY WOODS DEV,Waste Management, PA,40.745601,-80.127491,1
ABBOT INDUSTRIAL SUPPLIES,Cleaning Product Mfg, CA,34.19756,-118.38469,1
ABBOT  J.J.  INC.,Paper Mills and Products, MD,39.2944,-76.56082,1
ABBOTS PRINTING INC,Printing, WA,46.59521,-120.50816,1
ABBOTT,Metal Machinery Mfg, MN,45.008618,-93.09326,1
ABBOTT,Metal Machinery Mfg, MN,45.04583,-93.40568,1
ABBOTT - WOODRIDGE,Metal Machinery Mfg, MN,45.00625,-93.09631,1
ABBOTT AVIATION,Airports, TX,32.396713,-94.71181,1
ABBOTT CARDIOVASCULAR,Metal Machinery Mfg, CA,33.58769,-117.12632,1
ABBOTT CARDIOVASCULAR SYSTEMS INC,Metal Machinery Mfg, CA,33.5109,-117.18073,1
ABBOTT CARDIOVASCULAR SYSTEMS INC,Metal Machinery Mfg, CA,33.51732,-117.15447,1
ABBOTT CARDIOVASCULAR SYSTEMS INC,Metal Machinery Mfg, CA,37.38756,-121.98482,1
ABBOTT CARDIOVASCULAR SYSTEMS  INC.,Metal Machinery Mfg, CA,33.528357,-117.161978,1
ABBOTT CRITICAL CARE SYSTEMS,Metal Machinery Mfg, UT,40.67402,-111.92323,1
ABBOTT CRITICAL CARE SYSTEMS,Plastics and Resins, UT,40.67402,-111.92323,1
ABBOTT DIAGNOSTICS DIVISION,Metal Machinery Mfg, CA,37.41017,-121.98478,1
ABBOTT ELECTRONICS INCORPORATED,Electronics Industry, CA,34.03314,-118.37543,1
ABBOTT ELECTROPHYSIOLOGY,Metal Machinery Mfg, CA,37.476146,-122.14025,1
ABBOTT HEMATOLOGY,Metal Machinery Mfg, CA,37.39547,-121.97669,1
ABBOTT INDUSTRIES INCORPORATED,Metal Coating, NY,40.699011,-73.803894,1
ABBOTT JEFFREY L RESIDENCE,Waste Management, VA,38.71293,-78.5082,1
ABBOTT LABORATORIES,Airports, IL,42.42475,-87.87346,1
ABBOTT LABORATORIES,Metal Machinery Mfg, CA,37.146153,-121.650223,1
ABBOTT LABORATORIES,Metal Machinery Mfg, TX,32.87221,-96.97094,1
ABBOTT LABORATORIES (WESTFIELD),Metal Machinery Mfg, IN,40.08069,-86.125743,1
ABBOTT LABORATORIES DIAGNOSTICS DIVISION,Metal Machinery Mfg, CA,37.40827,-121.98407,1
ABBOTT LABS,Metal Machinery Mfg, NC,34.795763,-79.445164,1
ABBOTT MEDICAL OPTICS,Metal Machinery Mfg, CA,37.40441,-121.91169,1
ABBOTT PRINTING COMPANY,Printing, FL,28.645522,-81.356742,1
ABBOTT PRODUCTS CORP,Metal Machinery Mfg, IL,41.82809,-87.70357,1
ABBOTT PRODUCTS-STRUCTURAL STEEL DIV.,Metal Machinery Mfg, IL,40.555795,-90.030917,1
ABBOTT TECHNOLOGIES INC,Electronics Industry, CA,34.219728,-118.370229,1
ABBOTT  M. PAD 1,Oil and Gas, PA,41.870944,-75.75228,1
ABBVIE INC,Chemical Mfg, IL,42.334501,-87.836115,1
ABBVIE INC,Industrial Gas, IL,42.334501,-87.836115,1
ABBVIE LTD,Metal Machinery Mfg, PR,18.433237,-66.570509,1
ABBVIE/ALLERGAN,Metal Machinery Mfg, NJ,40.5639,-74.70875,1
ABBY ROCK  LLC.,Plastics and Resins, IN,41.08042,-85.16087,1
ABC ASSEMBLY INC,Electronics Industry, CA,37.520943,-121.946786,1
ABC AUTO BODY INC,Metal Coating, MN,44.927799,-93.101674,1
ABC AUTOMOTIVE SYSTEMS INC,Plastics and Resins, KY,37.14019,-84.18246,1
ABC BATTERY,Waste Management, CA,37.28375,-120.50655,1
ABC BUS INC.,Petroleum, NJ,39.9441,-75.10354,1
ABC COMPOUNDING CO INC,Cleaning Product Mfg, GA,33.63432,-83.95704,1
ABC COMPOUNDING CO OF TEXAS INC,Cleaning Product Mfg, TX,32.7669,-97.04843,1
ABC COMPOUNDING CO. INC. (CONYERS),Cleaning Product Mfg, GA,33.6318,-83.9578,1
ABC COMPOUNDING COMPANY INC,Cleaning Product Mfg, GA,33.758933,-84.497533,1
ABC COMPOUNDING OF TX,Cleaning Product Mfg, TX,32.766233,-97.048084,1
ABC CORPORATION,Cleaning Product Mfg, HI,21.37922,-158.01816,1
ABC CUSTOM CHROME INC,Metal Coating, MI,42.68759,-83.386,1
ABC DISPOSAL CO,Airports, FL,28.275868,-82.714512,1
ABC DISPOSAL SERVICE INC,Waste Management, MA,41.66778,-70.95371,1
ABC ENAMELING CO,Metal Coating, IL,41.85297,-87.70406,1
ABC FABRICATORS INC,Electronics Industry, NH,43.52346,-71.47285,1
ABC INC-125 WEST END AVE,Metal Coating, NY,40.775561,-73.987596,1
ABC INDUSTRIES,Plastics and Resins, CO,39.06238,-108.55236,1
ABC INDUSTRIES INCORPORATED,Plastics and Resins, IN,41.22989,-85.8192,1
ABC INDUSTRIESINC (DBA ABC ENGRAVERS),Metal Coating, NC,35.26784,-80.870161,1
ABC LITHO/GRAPHICS  INC.,Printing, PA,40.40801,-79.76108,1
ABC MAILERS,Paper Mills and Products, NJ,39.76947,-75.36737,1
ABC METAL FINISHING,Metal Coating, WA,47.53056,-122.32792,1
ABC METAL FINISHING SITE,Metal Coating, WA,47.550787,-122.31997,1
ABC OIL RECYCLING,Waste Management, LA,30.00203,-90.20142,1
ABC PICTURES INC,Printing, MO,37.23115,-93.25935,1
ABC PLASTIC MOLDING,Plastics and Resins, TX,29.859722,-95.391968,1
ABC PLATING,Metal Coating, NV,39.52139,-119.75861,1
ABC REALTY WAREHOUSE,Textiles and Leather, RI,41.81755,-71.44407,1
ABC REPROGRAPHICS INC,Printing, CO,39.67427,-104.88934,1
ABC SANITARY LANDFILL,Waste Management, OK,36.580122,-96.528742,1
ABC SUPPLY CO INC,Textiles and Leather, CA,33.99372,-117.36604,1
ABC VACUUM SERVICES & RECYCLING LLC,Waste Management, LA,30.36065,-89.77439,1
ABC/WARREN/AMPLEX SUPERABRASIVES,Metal Coating, PA,41.45639,-75.58536,1
ABC-NACO INC,Metal Machinery Mfg, IL,41.48835,-87.61608,1
ABCO,Printing, TX,32.76817,-96.79196,1
ABCO INC,Cleaning Product Mfg, PA,40.31829,-79.677052,1
ABCON BUILDERS CORP,Metal Coating, NY,40.687682,-73.990849,1
ABC-UNKNOWN,National Defense, GU,13.4383,144.772929,1
ABDO SHEET METAL & FABRICATION INC,Metal Machinery Mfg, NY,43.02697,-75.0577,1
ABE - LEHIGH VALLEY INTL,Airports (Part 139), PA,40.65236389,-75.44040556,1
ABE ARENS BROTHERS ENVIRONMENTAL,Waste Management, CA,38.700745,-120.817799,1
ABE ARENS BROTHERS ENVIRONMENTAL INC,Waste Management, CA,38.647028,-120.950671,1
ABE DITMAR & SONS,Petroleum, IL,42.342545,-90.00911,1
ABE SOUTH DAKOTA LLC,Chemical Mfg, SD,45.459444,-98.5325,1
ABE SOUTH DAKOTA LLC,Petroleum, SD,45.459444,-98.5325,1
ABE STATE 2H 3H U2,Oil and Gas, NM,32.45256,-103.58806,1
ABEGG PRINTING CO,Printing, CO,39.77292,-104.95115,1
ABEL 1 26,Oil and Gas, OK,34.872287,-97.713738,1
ABEL METAL FINISHING CO,Metal Coating, OH,41.50112,-81.63495,1
ABELCONN LLC,Electronics Industry, MN,45.05069,-93.39655,1
ABELCONN LLC,Metal Coating, MN,45.05069,-93.39655,1
ABELCONN  LLC,Metal Coating, MN,45.110053,-93.420621,1
ABENGOA BIOENERGY CORPORATION COLWICH ETHANOL PLANT,Chemical Mfg, KS,37.78682,-97.53099,1
ABENGOA BIOENERGY ETHANOL PLANT,Chemical Mfg, NM,34.170459,-103.36991,1
ABENGOA BIOENERGY OF NEBRASKA,Chemical Mfg, NE,41.023749,-98.87511,1
ABER FENCE AND SUPPLY CO,Metal Machinery Mfg, TX,29.9096,-95.47327,1
ABERCROMBIE OIL COMPANY,Petroleum, VA,36.69116,-79.91288,1
ABERCROMBIE  CITY OF,Waste Management, ND,46.45352,-96.72555,1
ABERDEEN EAST WWTP,Waste Management, MS,33.828139,-88.54225,1
ABERDEEN ENERGY LLC,Chemical Mfg, SD,45.442417,-98.787139,1
ABERDEEN ENERGY LLC,Petroleum, SD,45.442417,-98.787139,1
ABERDEEN FABRICS  INC.,Textiles and Leather, NC,35.12333,-79.429683,1
ABERDEEN MACHINE WORKS INC,Metal Machinery Mfg, MS,33.815214,-88.543841,1
ABERDEEN PROVING GROUND  ABERDEEN AREA WWTP,National Defense, MD,39.470855,-76.095476,1
ABERDEEN PROVING GROUND-ABERDEEN AREA & EDGEWOOD AREA,National Defense, MD,39.481881,-76.137166,1
