10 HUC,CON,Column1,Column2
East Prong Roaring River,"East Prong Roaring River , NC",36.3313036,-81.0533823
Eastatoe Creek,"Eastatoe Creek , NC",35.7595731,-79.0192997
Eastland Creek-John H Kerr Reservoir,"Eastland Creek-John H Kerr Reservoir , NC",36.6046074,-78.3649904
Eastmost Swamp,"Eastmost Swamp , NC",36.0958936,-76.774047
Edenhouse Point-Chowan River,"Edenhouse Point-Chowan River , NC",36.0426598,-76.7071684
Edenton Bay,"Edenton Bay , NC",36.0607157,-76.6091102
Elizabeth City-Pasquotank River,"Elizabeth City-Pasquotank River , NC",36.2946008,-76.2510461
Elk Creek,"Elk Creek , NC",36.1684,-81.5432566
Elk Creek-Dan River,"Elk Creek-Dan River , NC",36.5049877,-79.5554428
Elk Creek-New River,"Elk Creek-New River , NC",36.7215113,-81.1770379
Elk Creek-South Fork New River,"Elk Creek-South Fork New River , NC",36.3699301,-81.5045461
Elkin Creek,"Elkin Creek , NC",36.3263208,-80.9152279
Elkton Swamp,"Elkton Swamp , NC",34.487222,-78.5987238
Ellerbe Creek,"Ellerbe Creek , NC",36.0257803,-78.9090095
Ellijay Creek,"Ellijay Creek , NC",35.1825838,-83.2706554
Ellis Creek,"Ellis Creek , NC",34.7267194,-78.662563
Etheridge Swamp,"Etheridge Swamp , NC",35.9862011,-77.3439254
Eury Dam-Little River,"Eury Dam-Little River , NC",35.2387268,-82.6290119
Everett Creek-Carolina Beach Inlet,"Everett Creek-Carolina Beach Inlet , NC",34.0351726,-77.8935966
Everett Creek-New River,"Everett Creek-New River , NC",34.5728038,-77.4511791
Everetts Lake-Marks Creek,"Everetts Lake-Marks Creek , NC",34.8155551,-79.8835827
Fall Creek-Smith River,"Fall Creek-Smith River , NC",35.222337,-82.6959581
Falling Creek,"Falling Creek , NC",35.2621075,-77.6905291
Farabee Creek-Yadkin River,"Farabee Creek-Yadkin River , NC",35.7595731,-79.0192997
Faukner Creek-Ararat River,"Faukner Creek-Ararat River , NC",36.5097221,-80.5591162
Fifth Creek,"Fifth Creek , NC",35.8562706,-80.8003528
Fires Creek,"Fires Creek , NC",35.0770322,-83.8640669
Fisher Swamp-Little Swift Creek,"Fisher Swamp-Little Swift Creek , NC",35.2688821,-77.0103653
Fishing Creek,"Fishing Creek , NC",36.1326325,-81.0656355
Fites Creek-Catawba River,"Fites Creek-Catawba River , NC",35.0770322,-83.8640669
Flag Run Gut-Roanoke River,"Flag Run Gut-Roanoke River , NC",36.1442401,-77.1588948
Flat Creek,"Flat Creek , NC",35.7528878,-82.5465199
Flat Creek-Deep River,"Flat Creek-Deep River , NC",35.7528878,-82.5465199
Flat Creek-Little River,"Flat Creek-Little River , NC",35.7528878,-82.5465199
Flat Rock Branch-Swift Creek,"Flat Rock Branch-Swift Creek , NC",35.710555,-78.7249469
Flat Shoal Creek-Ararat River,"Flat Shoal Creek-Ararat River , NC",36.4303322,-80.5327257
Flat Shoals Creek-Dan River,"Flat Shoals Creek-Dan River , NC",36.5049877,-79.5554428
Flat Swamp Creek-High Rock Lake,"Flat Swamp Creek-High Rock Lake , NC",35.6154166,-80.2247745
Flowers Swamp-Lumber River,"Flowers Swamp-Lumber River , NC",34.4346103,-79.0078089
Floyds Creek,"Floyds Creek , NC",35.2652212,-81.8715958
Folly Swamp,"Folly Swamp , NC",36.4895974,-76.5502272
Fontana Lake-Nantahala River,"Fontana Lake-Nantahala River , NC",35.0648016,-83.5443104
Fontana Lake-Tuckasegee River,"Fontana Lake-Tuckasegee River , NC",35.4348151,-83.58461
Forbush Creek,"Forbush Creek , NC",36.1575973,-80.5674261
Fork Creek,"Fork Creek , NC",35.7595731,-79.0192997
Fork Swamp-Swift Creek,"Fork Swamp-Swift Creek , NC",35.495652,-77.3611536
Fountain Fork Creek-Middle Conetoe Creek,"Fountain Fork Creek-Middle Conetoe Creek , NC",35.9071021,-77.371356
Fourmile Creek,"Fourmile Creek , NC",35.7595731,-79.0192997
Freemason Creek-Catawba River,"Freemason Creek-Catawba River , NC",35.7595731,-79.0192997
Frenchs Creek-Cape Fear River,"Frenchs Creek-Cape Fear River , NC",34.4550445,-78.3159411
Frenchs Creek-New River,"Frenchs Creek-New River , NC",34.6195382,-77.3049794
Frying Pan Shoals-Cape Fear River,"Frying Pan Shoals-Cape Fear River , NC",34.7256634,-78.4904278
Futch Creek-Rich Inlet,"Futch Creek-Rich Inlet , NC",34.2952295,-77.7094375
Gallberry Swamp,"Gallberry Swamp , NC",34.8210849,-78.8976988
Garden Creek-Pigeon River,"Garden Creek-Pigeon River , NC",35.7045679,-82.035943
Gardener Creek,"Gardener Creek , NC",35.8041178,-76.9347776
Georges Creek-Deep River,"Georges Creek-Deep River , NC",36.0048676,-79.976619
Gilberts Creek-Rocky River,"Gilberts Creek-Rocky River , NC",35.2035846,-80.2955418
Giles Creek-Haw River,"Giles Creek-Haw River , NC",36.094939,-79.3569372
Glade Creek-Little River,"Glade Creek-Little River , NC",35.266716,-82.6806413
Glade Creek-Lower Little River,"Glade Creek-Lower Little River , NC",35.9247752,-81.2133024
Goodman Swamp,"Goodman Swamp , NC",34.7376626,-78.8156087
Goodwin Creek,"Goodwin Creek , NC",36.2175062,-76.5517105
Goose Creek,"Goose Creek , NC",36.2282145,-76.0279797
Goose Creek-Alligator River,"Goose Creek-Alligator River , NC",35.9671031,-75.9815827
Gore Lake-Gore Creek,"Gore Lake-Gore Creek , NC",35.7595731,-79.0192997
Goulds Fork,"Goulds Fork , NC",34.9977873,-80.1149398
Grants Creek,"Grants Creek , NC",35.6219465,-80.5493781
Grape Creek-Hiwassee Lake,"Grape Creek-Hiwassee Lake , NC",35.1642457,-84.254086
Grapevine Bay-Alligator River,"Grapevine Bay-Alligator River , NC",35.7194218,-76.047894
Grassy Creek-Deep River,"Grassy Creek-Deep River , NC",36.5737341,-81.3887137
Grassy Creek-Lower Little River,"Grassy Creek-Lower Little River , NC",35.9247752,-81.2133024
Grassy Creek-New River,"Grassy Creek-New River , NC",36.5737341,-81.3887137
Grassy Creek-North Toe River,"Grassy Creek-North Toe River , NC",35.8822984,-82.0570121
Grassy Creek-Yadkin River,"Grassy Creek-Yadkin River , NC",36.060108,-81.5650931
Gray Ditch-Wysocking Bay,"Gray Ditch-Wysocking Bay , NC",35.4105943,-76.044993
Grays Creek-Yadkin River,"Grays Creek-Yadkin River , NC",34.8994521,-78.8609122
Great Creek-Lake Gaston,"Great Creek-Lake Gaston , NC",36.5076208,-77.9453091
Great Dismal Swamp-Headwaters Perquimmans River,"Great Dismal Swamp-Headwaters Perquimmans River , NC",36.5334855,-76.4621685
Great Island-Horse Island,"Great Island-Horse Island , NC",34.7043288,-76.6435398
Great Swamp,"Great Swamp , NC",35.5578238,-78.0423683
Great Swamp-North River,"Great Swamp-North River , NC",34.81639,-76.63611
Green Swamp-Big Creek,"Green Swamp-Big Creek , NC",35.7595731,-79.0192997
Greens Creek,"Greens Creek , NC",35.3284327,-83.2620929
Greens Mill Run,"Greens Mill Run , NC",35.5959093,-77.3783647
Grissett Swamp-Seven Creeks,"Grissett Swamp-Seven Creeks , NC",35.7595731,-79.0192997
Grist Mill Branch-Cape Fear River,"Grist Mill Branch-Cape Fear River , NC",34.7256634,-78.4904278
Grove Creek,"Grove Creek , NC",34.9752465,-77.9566984
Gulf Creek-Cape Fear River,"Gulf Creek-Cape Fear River , NC",34.7256634,-78.4904278
Gum Neck Creek-Alligator River,"Gum Neck Creek-Alligator River , NC",35.6975564,-76.1097289
Gum Swamp,"Gum Swamp , NC",35.7595731,-79.0192997
Gum Swamp-South River,"Gum Swamp-South River , NC",34.95861,-76.5972199
Gumberry Swamp,"Gumberry Swamp , NC",36.4267678,-77.4744954
Gunpowder Creek,"Gunpowder Creek , NC",35.8521679,-81.4745621
Hadnet Creek,"Hadnet Creek , NC",35.7595731,-79.0192997
Halfmoon Creek-Neuse River,"Halfmoon Creek-Neuse River , NC",35.1312747,-76.5038153
Hamby Branch-Rocky River,"Hamby Branch-Rocky River , NC",35.3504476,-80.5046436
Hamby Creek,"Hamby Creek , NC",35.850352,-80.1302674
Hammond Creek,"Hammond Creek , NC",34.5770057,-78.5660622
Hanging Dog Creek,"Hanging Dog Creek , NC",35.2116161,-83.992612
Hannahs Creek-Uwharrie River,"Hannahs Creek-Uwharrie River , NC",35.5828876,-79.9470737
Hardy Creek-Rocky River,"Hardy Creek-Rocky River , NC",41.4768217,-81.8497567
Hardy Mill Run-Neuse River,"Hardy Mill Run-Neuse River , NC",35.7595731,-79.0192997
Harlands Creek,"Harlands Creek , NC",35.7116139,-79.2549797
Harlowe Creek,"Harlowe Creek , NC",34.7898543,-76.7047797
Harris Creek,"Harris Creek , NC",35.7595731,-79.0192997
Harrison Creek,"Harrison Creek , NC",34.7855521,-78.7249443
Harrisons Creek,"Harrisons Creek , NC",34.3930904,-77.7609394
Harts Creek-Bear Creek,"Harts Creek-Bear Creek , NC",35.6529722,-79.2965149
Harve Creek-South Yadkin River,"Harve Creek-South Yadkin River , NC",35.928692,-80.8093135
Hasketts Creek-Deep River,"Hasketts Creek-Deep River , NC",35.745981,-79.8044569
Hatteras Island-Pamlico Sound,"Hatteras Island-Pamlico Sound , NC",35.24804,-75.5393155
Haw Creek,"Haw Creek , NC",35.597715,-82.5050529
Hawtree Creek,"Hawtree Creek , NC",36.4837554,-78.130786
Hayes Swamp,"Hayes Swamp , NC",35.7595731,-79.0192997
Hazel Creek,"Hazel Creek , NC",35.4434224,-83.7573956
Headwaters Aarons Creek,"Headwaters Aarons Creek , NC",35.7595731,-79.0192997
Headwaters Ararat River,"Headwaters Ararat River , NC",36.4682019,-80.5437971
Headwaters Ashpole Swamp,"Headwaters Ashpole Swamp , NC",34.5259966,-79.2328172
Headwaters Bachelor Creek,"Headwaters Bachelor Creek , NC",35.1218276,-77.1830154
Headwaters Bear Creek,"Headwaters Bear Creek , NC",35.6168118,-79.3847432
Headwaters Blounts Creek,"Headwaters Blounts Creek , NC",35.3498854,-76.9599442
Headwaters Brice Creek,"Headwaters Brice Creek , NC",35.0559925,-77.0877273
Headwaters Broad River,"Headwaters Broad River , NC",35.7595731,-79.0192997
Headwaters Brown Creek,"Headwaters Brown Creek , NC",35.7595731,-79.0192997
Headwaters Buffalo Creek,"Headwaters Buffalo Creek , NC",35.4836656,-82.184866
Headwaters Cane Creek,"Headwaters Cane Creek , NC",35.7595731,-79.0192997
Headwaters Cane River,"Headwaters Cane River , NC",35.9145561,-82.3912419
Headwaters Cashie River,"Headwaters Cashie River , NC",36.0713391,-77.0506291
Headwaters Catawba River,"Headwaters Catawba River , NC",34.4668123,-80.8889704
Headwaters Chattooga River,"Headwaters Chattooga River , NC",34.9265591,-83.2076373
Headwaters Chicod Creek,"Headwaters Chicod Creek , NC",35.5355723,-77.1916397
Headwaters Cokey Swamp,"Headwaters Cokey Swamp , NC",35.8613002,-77.7222785
Headwaters Cole Creek,"Headwaters Cole Creek , NC",35.7595731,-79.0192997
Headwaters Conoconnara Swamp,"Headwaters Conoconnara Swamp , NC",36.2384939,-77.5644477
Headwaters Core Creek,"Headwaters Core Creek , NC",34.8284943,-76.6929868
Headwaters Drowning Creek,"Headwaters Drowning Creek , NC",35.124204,-79.5489482
Headwaters Durham Creek,"Headwaters Durham Creek , NC",35.3053659,-76.9037935
Headwaters First Broad River,"Headwaters First Broad River , NC",35.2076278,-81.6062443
Headwaters Fisher River,"Headwaters Fisher River , NC",36.403628,-80.7684709
Headwaters Fishing Creek,"Headwaters Fishing Creek , NC",36.1326325,-81.0656355
Headwaters Gapway Swamp,"Headwaters Gapway Swamp , NC",34.2587865,-78.1749683
Headwaters Great Coharie Creek,"Headwaters Great Coharie Creek , NC",34.7896148,-78.3124988
Headwaters Grindle Creek,"Headwaters Grindle Creek , NC",35.6935847,-77.2864316
Headwaters Gum Swamp Creek,"Headwaters Gum Swamp Creek , NC",35.7595731,-79.0192997
Headwaters Hardison Mill Creek,"Headwaters Hardison Mill Creek , NC",35.7255713,-76.9498971
Headwaters Hunting Creek,"Headwaters Hunting Creek , NC",35.7595731,-79.0192997
Headwaters Kendrick Creek,"Headwaters Kendrick Creek , NC",35.8377646,-76.602458
Headwaters Kings Creek,"Headwaters Kings Creek , NC",35.991986,-81.4030577
Headwaters Leith Creek,"Headwaters Leith Creek , NC",34.8016904,-79.4591268
Headwaters Little River,"Headwaters Little River , NC",35.2387268,-82.6290119
Headwaters Little Swift Creek,"Headwaters Little Swift Creek , NC",35.2688821,-77.0103653
Headwaters Locks Creek,"Headwaters Locks Creek , NC",35.0698885,-78.8237458
Headwaters Lockwoods Folly River,"Headwaters Lockwoods Folly River , NC",33.9214355,-78.2475396
Headwaters Lynches River,"Headwaters Lynches River , NC",34.3313506,-79.9898651
Headwaters Maxwell Creek,"Headwaters Maxwell Creek , NC",34.902628,-77.9766839
Headwaters Mayo Creek,"Headwaters Mayo Creek , NC",36.404464,-78.8977004
Headwaters Monie Swamp,"Headwaters Monie Swamp , NC",34.1296209,-78.6994316
Headwaters Muddy Creek,"Headwaters Muddy Creek , NC",36.0270814,-80.3436639
Headwaters Nahunta Swamp,"Headwaters Nahunta Swamp , NC",35.4957624,-77.9194236
Headwaters Nantahala River,"Headwaters Nantahala River , NC",35.0648016,-83.5443104
Headwaters New Hope Creek,"Headwaters New Hope Creek , NC",35.8101482,-78.9966763
Headwaters New River,"Headwaters New River , NC",34.7540836,-77.4693666
Headwaters North Fork New River,"Headwaters North Fork New River , NC",36.4434323,-81.5264968
Headwaters North River,"Headwaters North River , NC",34.81639,-76.63611
Headwaters North Toe River,"Headwaters North Toe River , NC",35.9742848,-82.1521053
Headwaters Nutbush Creek,"Headwaters Nutbush Creek , NC",36.3603731,-78.409816
Headwaters Potecasi Creek,"Headwaters Potecasi Creek , NC",36.4362647,-76.9566271
Headwaters Reedy Fork,"Headwaters Reedy Fork , NC",36.1800269,-79.5883923
Headwaters Rockfish Creek,"Headwaters Rockfish Creek , NC",34.9602329,-78.8612554
Headwaters Rocky River,"Headwaters Rocky River , NC",35.2501409,-80.3764606
Headwaters Roquist Creek,"Headwaters Roquist Creek , NC",36.0134542,-77.0103303
Headwaters Sandy Creek,"Headwaters Sandy Creek , NC",34.2850596,-78.156745
Headwaters Sandy Run Swamp,"Headwaters Sandy Run Swamp , NC",34.6620214,-77.6421431
Headwaters Scuppernong River,"Headwaters Scuppernong River , NC",35.8926346,-76.3318457
Headwaters Second Broad River,"Headwaters Second Broad River , NC",35.3791792,-81.8660624
Headwaters Shoe Heel Creek,"Headwaters Shoe Heel Creek , NC",34.6504772,-79.3690824
Headwaters Six Runs Creek,"Headwaters Six Runs Creek , NC",35.0194103,-78.2362169
Headwaters South Creek,"Headwaters South Creek , NC",35.3357243,-76.6943739
Headwaters South Deep Creek,"Headwaters South Deep Creek , NC",36.148728,-80.6825254
Headwaters South Fork New River,"Headwaters South Fork New River , NC",36.3699301,-81.5045461
Headwaters South Yadkin River,"Headwaters South Yadkin River , NC",35.928692,-80.8093135
Headwaters Southwest Creek,"Headwaters Southwest Creek , NC",35.1863107,-77.6414038
Headwaters Stewarts Creek,"Headwaters Stewarts Creek , NC",36.5297215,-80.7436141
Headwaters Stoney Creek,"Headwaters Stoney Creek , NC",35.4496054,-77.9547079
Headwaters Sweetwater Creek,"Headwaters Sweetwater Creek , NC",35.7595731,-79.0192997
Headwaters Swift Creek,"Headwaters Swift Creek , NC",35.7263366,-78.7478045
Headwaters Tallulah River,"Headwaters Tallulah River , NC",34.9878461,-83.5496557
Headwaters Tar River,"Headwaters Tar River , NC",35.7567658,-77.4351508
Headwaters Tellico River ,"Headwaters Tellico River  , NC",35.2665718,-84.053065
Headwaters Third Creek,"Headwaters Third Creek , NC",35.8117332,-80.8539439
Headwaters Thompson Creek,"Headwaters Thompson Creek , NC",35.7595731,-79.0192997
Headwaters Town Fork Creek,"Headwaters Town Fork Creek , NC",36.2828499,-80.1874474
Headwaters Tranters Creek,"Headwaters Tranters Creek , NC",35.75858,-77.2290053
Headwaters Trent River,"Headwaters Trent River , NC",35.0532419,-77.389313
Headwaters Tuckahoe Swamp,"Headwaters Tuckahoe Swamp , NC",35.0314501,-77.7051406
Headwaters Upper Broad Creek,"Headwaters Upper Broad Creek , NC",35.1591653,-76.9383668
Headwaters Upper Little River,"Headwaters Upper Little River , NC",34.8002309,-78.4824501
Headwaters Urahaw Swamp,"Headwaters Urahaw Swamp , NC",36.3206951,-77.3008074
Headwaters Uwharrie River,"Headwaters Uwharrie River , NC",35.8756432,-79.9933935
Headwaters Valley River,"Headwaters Valley River , NC",35.2091006,-83.788941
Headwaters Watauga River,"Headwaters Watauga River , NC",36.3553019,-82.222941
Headwaters West Fork Chattooga River,"Headwaters West Fork Chattooga River , NC",34.9265591,-83.2076373
Headwaters White Oak River,"Headwaters White Oak River , NC",34.8814492,-77.2201721
Headwaters Yadkin River,"Headwaters Yadkin River , NC",36.060108,-81.5650931
Health Mill Run-Beaver Creek,"Health Mill Run-Beaver Creek , NC",36.3773478,-81.5023274
Hector Creek-Cape Fear River,"Hector Creek-Cape Fear River , NC",35.4956905,-78.8495863
Hector Creek-Little River,"Hector Creek-Little River , NC",35.2387268,-82.6290119
Helton Creek,"Helton Creek , NC",36.5344412,-81.4327008
Herring Run-Runyon Creek,"Herring Run-Runyon Creek , NC",35.5502706,-77.0168628
Hickory Creek-Broad River,"Hickory Creek-Broad River , NC",35.7595731,-79.0192997
Hickory Creek-Deep River,"Hickory Creek-Deep River , NC",36.0048676,-79.976619
Hickory Creek-First Broad River,"Hickory Creek-First Broad River , NC",35.2076278,-81.6062443
High Point Lake-Deep River,"High Point Lake-Deep River , NC",36.0048676,-79.976619
High Rock Lake-Abbotts Creek,"High Rock Lake-Abbotts Creek , NC",35.6516286,-80.3018107
Hills Creek,"Hills Creek , NC",35.2798323,-81.7677637
Hills Creek-Pamlico River,"Hills Creek-Pamlico River , NC",35.4613819,-77.0061556
Hills Creek-Second Broad River,"Hills Creek-Second Broad River , NC",35.2976908,-81.7733243
Hinson Lake-Falling Creek,"Hinson Lake-Falling Creek , NC",35.2621075,-77.6905291
Hinton Creek,"Hinton Creek , NC",35.4320042,-81.7075496
Hiwassee Lake-Hiwassee River,"Hiwassee Lake-Hiwassee River , NC",35.7595731,-79.0192997
Hog Island-Neuse River,"Hog Island-Neuse River , NC",35.1934923,-79.2964179
Hog Swamp,"Hog Swamp , NC",34.4907204,-79.0719782
Hogan Creek,"Hogan Creek , NC",36.3943102,-79.5026689
Hogan Creek-Yadkin River,"Hogan Creek-Yadkin River , NC",35.7595731,-79.0192997
Hoggard Mill Creek,"Hoggard Mill Creek , NC",36.0508621,-76.9127999
Holden Beach-Shallotte Inlet,"Holden Beach-Shallotte Inlet , NC",33.9043392,-78.3811146
Holiday Island-Chowan River,"Holiday Island-Chowan River , NC",36.2704217,-76.8027886
Holiday Island-Minzies Creek,"Holiday Island-Minzies Creek , NC",36.0977882,-76.3758528
Holiday Island-Yeopim River,"Holiday Island-Yeopim River , NC",36.0743272,-76.4066044
Hollow Ground Swamp-Northwest Fork Alligator River,"Hollow Ground Swamp-Northwest Fork Alligator River , NC",35.7822177,-76.2394041
Holover Creek-New River Inlet,"Holover Creek-New River Inlet , NC",34.5290127,-77.3360319
Holston Creek,"Holston Creek , NC",34.8277228,-77.1521087
Holts Lake-Black Creek,"Holts Lake-Black Creek , NC",35.6351589,-77.9330403
Hominy Swamp,"Hominy Swamp , NC",35.7223674,-77.9214324
Honey Island Swamp,"Honey Island Swamp , NC",35.7595731,-79.0192997
Honeycutt Creek-Neuse River,"Honeycutt Creek-Neuse River , NC",35.9021051,-78.6208996
Hood Creek,"Hood Creek , NC",35.0596613,-77.0794705
Hook Branch,"Hook Branch , NC",35.5134203,-78.6171753
Hoopers Creek,"Hoopers Creek , NC",35.4391399,-82.4667481
Horse Creek,"Horse Creek , NC",36.0084591,-78.5270405
Horse Pen Swamp-Waccamaw River,"Horse Pen Swamp-Waccamaw River , NC",34.1140142,-78.5178071
Horse Swamp,"Horse Swamp , NC",34.7329816,-77.2764329
Horsepasture River,"Horsepasture River , NC",35.1109344,-83.0065938
Horsepen Branch,"Horsepen Branch , NC",35.7595731,-79.0192997
Hothouse Creek,"Hothouse Creek , NC",35.0183513,-84.2765976
House Pond-Sevenmile Swamp,"House Pond-Sevenmile Swamp , NC",35.209243,-78.4297086
Howard Reef-Ocracoke Island,"Howard Reef-Ocracoke Island , NC",35.1390599,-75.9737874
Howards Creek,"Howards Creek , NC",35.4966122,-81.3619402
Hoyle Creek,"Hoyle Creek , NC",35.4006227,-81.1637175
Hungry River,"Hungry River , NC",35.3328375,-82.3248372
Hunters Creek,"Hunters Creek , NC",35.7595731,-79.0192997
Hunting Creek-Catawba River,"Hunting Creek-Catawba River , NC",35.7595731,-79.0192997
Hyco Creek,"Hyco Creek , NC",36.4829182,-79.0947359
Hyco Creek-Hyco Lake,"Hyco Creek-Hyco Lake , NC",36.4829182,-79.0947359
Indian Creek,"Indian Creek , NC",35.7595731,-79.0192997
Indian Creek-Cape Fear River,"Indian Creek-Cape Fear River , NC",34.7256634,-78.4904278
Indian Creek-Northwest River,"Indian Creek-Northwest River , NC",35.7595731,-79.0192997
Indian Island-South Creek,"Indian Island-South Creek , NC",35.3357243,-76.6943739
Indian Swamp,"Indian Swamp , NC",34.4157277,-79.0532034
Intercepting Canal-Cuckolds Creek,"Intercepting Canal-Cuckolds Creek , NC",35.5743236,-76.6338705
Intracoastal Waterway,"Intracoastal Waterway , NC",35.7595731,-79.0192997
Intracoastal Waterway-Alligator River,"Intracoastal Waterway-Alligator River , NC",35.7595731,-79.0192997
Irish Buffalo Creek,"Irish Buffalo Creek , NC",35.4506179,-80.6049056
Irish Creek,"Irish Creek , NC",35.8427723,-81.8114652
Irvins Creek,"Irvins Creek , NC",35.1692411,-80.6992511
Irwin Creek,"Irwin Creek , NC",35.2477373,-80.8626691
Island Creek,"Island Creek , NC",34.8073223,-77.9053182
Island Creek-Northeast Cape Fear River,"Island Creek-Northeast Cape Fear River , NC",34.8073223,-77.9053182
Island Creek-Pee Dee River,"Island Creek-Pee Dee River , NC",34.1715296,-79.536862
Island Creek-Trent River,"Island Creek-Trent River , NC",35.0184346,-77.1575196
Jack Creek-South Yadkin River,"Jack Creek-South Yadkin River , NC",35.928692,-80.8093135
Jacks Creek,"Jacks Creek , NC",35.9626219,-82.3126294
Jacks Swamp,"Jacks Swamp , NC",35.7297989,-77.0755132
Jackson Creek,"Jackson Creek , NC",35.6956923,-80.0122652
Jackson Creek-Uwharrie River,"Jackson Creek-Uwharrie River , NC",35.8756432,-79.9933935
Jackson Swamp-Big Swamp,"Jackson Swamp-Big Swamp , NC",34.6558325,-78.9334204
Jacob Swamp,"Jacob Swamp , NC",34.5961898,-78.9401341
Jacob Swamp-Lumber River,"Jacob Swamp-Lumber River , NC",34.5961898,-78.9401341
Jacobs Branch,"Jacobs Branch , NC",35.7595731,-79.0192997
Jacobs Creek,"Jacobs Creek , NC",35.7595731,-79.0192997
James Creek,"James Creek , NC",35.1847117,-79.2929955
Jimmies Creek-Thompson Creek,"Jimmies Creek-Thompson Creek , NC",36.5320281,-77.8247559
Joes Creek,"Joes Creek , NC",34.824807,-79.5842116
Johnson Creek,"Johnson Creek , NC",35.7595731,-79.0192997
Johnsons Mill Run,"Johnsons Mill Run , NC",35.6689238,-77.4070794
Jones Bay,"Jones Bay , NC",35.2175708,-76.5199195
Jones Creek-Upper Little River,"Jones Creek-Upper Little River , NC",34.8002309,-78.4824501
Jones Swamp-South River,"Jones Swamp-South River , NC",34.95861,-76.5972199
Jordan Creek,"Jordan Creek , NC",35.7595731,-79.0192997
Joshua Creek-Trent River,"Joshua Creek-Trent River , NC",35.0532419,-77.389313
Jump and Run Creek-Gully Creek,"Jump and Run Creek-Gully Creek , NC",33.9493797,-78.0619826
Jumping Run Creek,"Jumping Run Creek , NC",35.7595731,-79.0192997
Jumping Run-Tar River,"Jumping Run-Tar River , NC",35.7567658,-77.4351508
Juniper Bay Creek-Juniper Bay,"Juniper Bay Creek-Juniper Bay , NC",35.3989919,-76.2137359
Juniper Bay-Lake Landing,"Juniper Bay-Lake Landing , NC",35.4254751,-76.2197074
Juniper Creek,"Juniper Creek , NC",34.243588,-78.0448148
Juniper Creek-Cape Fear River,"Juniper Creek-Cape Fear River , NC",34.1507735,-78.4606859
Juniper Swamp,"Juniper Swamp , NC",35.7595731,-79.0192997
Kings Branch-Black River,"Kings Branch-Black River , NC",34.6365557,-78.230168
Kings Creek,"Kings Creek , NC",35.991986,-81.4030577
Kings Creek-Tar River,"Kings Creek-Tar River , NC",35.991986,-81.4030577
Kings Mountain Reservoir-Buffalo Creek,"Kings Mountain Reservoir-Buffalo Creek , NC",35.3002605,-81.4512448
Kirbys Creek,"Kirbys Creek , NC",36.4667065,-77.1542516
Kirkland Creek-Tuckasegee River,"Kirkland Creek-Tuckasegee River , NC",35.404406,-83.421099
Knob Creek,"Knob Creek , NC",35.5126313,-81.5450915
Knob Creek-Broad River,"Knob Creek-Broad River , NC",35.5126313,-81.5450915
Lacys Creek-Rocky River,"Lacys Creek-Rocky River , NC",35.7744861,-79.4627417
Lake Adger-Green River,"Lake Adger-Green River , NC",35.3382645,-82.2033087
Lake Benson-Swift Creek,"Lake Benson-Swift Creek , NC",35.6659483,-78.6384552
Lake Cheoah-Little Tennessee River,"Lake Cheoah-Little Tennessee River , NC",35.4615377,-83.8943419
Lake Cherokee-Persimmon Creek,"Lake Cherokee-Persimmon Creek , NC",35.7595731,-79.0192997
Lake Creek-South River,"Lake Creek-South River , NC",34.95861,-76.5972199
Lake Emory-Little Tennessee River,"Lake Emory-Little Tennessee River , NC",35.212949,-83.3699235
Lake Glenville-West Fork Tuckasegee River,"Lake Glenville-West Fork Tuckasegee River , NC",35.1735496,-83.1474783
Lake Hickory-Catawba River,"Lake Hickory-Catawba River , NC",35.8065234,-81.2780361
Lake James-Catawba River,"Lake James-Catawba River , NC",35.7595731,-79.0192997
Lake Logan-West Fork Pigeon River,"Lake Logan-West Fork Pigeon River , NC",35.4070472,-82.9290084
Lake Lure-Broad River,"Lake Lure-Broad River , NC",35.4278969,-82.2048343
Lake Mattamuskeet,"Lake Mattamuskeet , NC",35.5201372,-76.1088001
Lake Michie-Flat River,"Lake Michie-Flat River , NC",36.1603909,-78.8403878
Lake Orange-Eno River,"Lake Orange-Eno River , NC",36.1515081,-79.1499146
Lake Sagamore-Cyprus Creek,"Lake Sagamore-Cyprus Creek , NC",35.9667487,-78.1970527
Lake Summit-Green River,"Lake Summit-Green River , NC",35.2262092,-82.4150054
Lake Toxaway-Headwaters Toxaway River,"Lake Toxaway-Headwaters Toxaway River , NC",35.1462588,-82.9571817
Lake Twitty-Stewarts Creek,"Lake Twitty-Stewarts Creek , NC",35.0301559,-80.4879197
Lake Waccamaw,"Lake Waccamaw , NC",34.3190578,-78.5000088
Lake Wakena-Walnut Creek,"Lake Wakena-Walnut Creek , NC",35.3188471,-77.8794524
Lake Wheeler-Swift Creek,"Lake Wheeler-Swift Creek , NC",35.7120117,-78.6863419
Lake Wylie-Catawba River,"Lake Wylie-Catawba River , NC",34.4668123,-80.8889704
Lake York-Clark Fork,"Lake York-Clark Fork , NC",35.7595731,-79.0192997
Lambert Fork,"Lambert Fork , NC",35.9671061,-81.272522
Landrum Creek,"Landrum Creek , NC",35.6963879,-79.3042925
Laytown Creek-Yadkin River,"Laytown Creek-Yadkin River , NC",36.060108,-81.5650931
Leak Island-Pee Dee River,"Leak Island-Pee Dee River , NC",35.1157048,-80.0642249
Lee Creek-French Broad River,"Lee Creek-French Broad River , NC",35.5627536,-82.8631741
