Type, Name, PFAS, Latitude, Longtitude
Drinking Water,Durham91,11.7,36.09,-78.83
Drinking Water,CITY OF WINSTON-SALEM NC,8.6,36.10,-80.24
Lake,"WINSTON-SALEM, CITY OF SALEM LAKE",16.21,36.10,-80.18
Drinking Water,CITY OF BURLINGTON  NC,67.6,36.10,-79.44
River,MARTIN COUNTY REGIONAL WASA : ROANOKE RIVER,14.92,36.10,-77.25
Creek,YADKINVILLE  TOWN OF: SOUTH DEEP CREEK,10.9,36.11,-80.66
Creek,FRANKLINTON  TOWN OF: TAYLOR CREEK,19.16,36.11,-78.47
River,Louisburg  NC : TAR RIVER,0,36.11,-78.29
Drinking Water,BLOWING ROCK  NC,0,36.13,-81.67
Drinking Water,Yadkinville  NC,1.1,36.13,-80.66
Lake,DURHAM : LAKE MICHIE,8.9,36.13,-78.87
Drinking Water,Perquimans County  NC,2.5,36.13,-76.41
Drinking Water,Seven Devils  NC,9.8,36.14,-81.83
Drinking Water,BLOWING ROCK  TOWN OF,79,36.14,-81.70
River,WILKESBORO  TOWN OF  YADKIN RIVER,0,36.14,-81.18
Well,SOUTH GRANVILLE WTR&SEWER AUTHORITY,45.02,36.14,-78.80
Drinking Water,SOUTH GRANVILLE WTR&SEWER AUTHORITY  KNAPP OF REEDS CRK,45.02,36.14,-78.76
Drinking Water,CHOWAN CO WATER SYSTEM NC,3.1,36.14,-76.62
Drinking Water,TOWN OF SEVEN DEVILS,11.79,36.15,-81.80
Well,TOWN OF SEVEN DEVILS,11.79,36.15,-81.80
River,DURHAM : LITTLE RIVER RESERVOIR,7.3,36.15,-78.83
Well,County of CHOWAN : WELL #9 @ VALHALLA,3.1,36.15,-76.69
Drinking Water,town of elk park nc,0,36.16,-81.98
Drinking Water,TOWN OF BANNER ELK,0,36.16,-81.87
River,NORTH WILKESBORO  TOWN OF  : REDDIES RIVER,0,36.16,-81.16
Lake,CITY OF GREENSBORO  : LAKE BRANDT,65,36.18,-79.86
Lake,CITY OF GREENSBORO : LAKE TOWNSEND,40,36.18,-79.76
Drinking Water,town of ENFIELD nc,0,36.18,-77.67
Drinking Water,PERQUIMANS COUNTY WATER SYSTEM NC,12.8,36.19,-76.47
Drinking Water,MULBERRY-FAIRPLAINS WTR ASSOC,237,36.20,-81.09
Well,PASQUOTANK COUNTY WATER SYSTEM: PASQ CO WELL #2,5.8,36.20,-76.31
Drinking Water,APPALACHIAN STATE UNIV WTP: NORRIS BRANCH,0,36.21,-81.68
Well,RONDA  TOWN OF: WELL #2,0,36.22,-80.94
Drinking Water,City of Greensboro-Mitchell Filter,124,36.22,-79.66
Drinking Water,DURHAM COUNTY ROUGEMONT WATER SYSTEM NC,1.6,36.22,-78.93
Well,POWELLSVILLE  TOWN OF  : WELL #1 WYNN ST,0,36.22,-76.93
Waterways,YD-203 NR BOONVILLE  NC MAFIC GNEISS,56.7,36.23,-80.70
Creek,ELKIN  TOWN OF: BIG ELKIN CREEK,0,36.26,-80.87
River,CITY OF KING PUBLIC UTILITIES: YADKIN RIVER,4.1,36.26,-80.47
Well,Rich Square Township  NC : Well #1,0,36.27,-77.29
Drinking Water,Rich Square Township  NC,0,36.27,-77.28
Drinking Water,City of King  NC,1.8,36.28,-80.36
Lake,Lake Reidsville  Reidsville  NC,6.6,36.28,-79.66
Well,Town of AHOSKIE,7.1,36.29,-76.98
Drinking Water,Ahoskie  NC,2.2,36.29,-76.98
Well,PASQUOTANK CO RO WATER SYSTEM: WESLEY 1 WELL,2.1,36.29,-76.35
Drinking Water,PASQUOTANK COUNTY WATER SYSTEM,79,36.29,-76.32
Drinking Water,Elizabeth City  NC,6.9,36.29,-76.25
Well,WALNUT COVE  TOWN OF  WELL #3,0,36.30,-80.13
Drinking Water,Harrellsville  NC,2.2,36.30,-76.79
Drinking Water,asquotank County Water System,5.8,36.30,-76.24
Drinking Water,ELIZABETH CITY  CITY OF,15,36.30,-76.22
Drinking Water,city of ELIZABETH  nc,60.9,36.31,-76.25
Drinking Water,town of ELIZABETH CITY,6.9,36.31,-76.21
Drinking Water,BLUE RIDGE WATER ASSOCIATION,158,36.33,-81.13
Drinking Water,ELKIN  TOWN OF,79,36.33,-80.80
Lake,HENDERSON-KERR LAKE REG WTR,79,36.33,-78.40
Well,WOODLAND  TOWN OF: WELL #1,0,36.33,-77.21
Drinking Water,CITY OF REIDSVILLE NC,14.3,36.35,-79.66
Well,VILLAGE OF COFIELD  WELL #3,0,36.36,-76.91
Drinking Water,OXFORD  CITY OF,79,36.37,-78.45
Drinking Water,Pilot Mountain  NC,6.4,36.38,-80.48
Drinking Water,TOWN OF PILOT MOUNTAIN NC,6.4,36.39,-80.47
Drinking Water,CITY OF ROXBORO  NC,3.3,36.39,-78.98
Well,JACKSON  TOWN OF: WELL #2,0,36.39,-77.42
Drinking Water,West Jefferson  NC,7.8,36.40,-81.49
Drinking Water,TOWN OF YANCEYVILLE NC,12.5,36.40,-79.34
Well,WINTON  TOWN OF  WELL #1,0,36.40,-76.93
Well,WEST JEFFERSON  TOWN OF: WELL #3A-WEST SEVENTH ST,7.84,36.41,-81.50
Drinking Water,TOWN OF DANBURY NC,11.4,36.41,-80.21
Drinking Water,TOWN OF MAYODAN NC,7.3,36.41,-79.97
River,DOBSON  TOWN OF: FISHER RIVER,0,36.42,-80.72
Drinking Water,Weldon,17,36.43,-77.61
Drinking Water,WELDON WATER SYSTEM NC,17,36.43,-77.60
Well,TOWN OF CONWAY  TOWN OF: WELL #5A,0,36.43,-77.23
Well,MURFREESBORO  TOWN OF: WELL #1,0,36.44,-77.10
Well,CURRITUCK : SOUTHERN OUTER BANKS WTR SYST: WELL #1,1.2,36.44,-76.01
Drinking Water,ROANOKE RAPIDS SANITARY DIST,24.6,36.46,-77.65
River,Chowan River,13,36.47,-76.94
Drinking Water,ROXBORO STEAM PLANT NC,17.8,36.48,-79.07
River,Roanoke River,0,36.48,-77.66
Creek,MOUNT AIRY  CITY OF: STEWARTS CREEK,8.9,36.49,-80.65
Drinking Water,CITY OF EDEN NC,3.1,36.49,-79.77
Drinking Water,City of Eden,1.25,36.49,-79.76
Lake,ROXBORO STEAM PLANT: HYCO LAKE,14,36.49,-79.07
Drinking Water,Lansing  NC,0,36.50,-81.51
Well,SPARTA  TOWN OF: WELL #9,0,36.50,-81.12
Drinking Water,CITY OF MOUNT AIRY  NC,12.7,36.50,-80.61
River,WELDON WATER SYSTEM: ROANOKE RIVER,19.07,36.50,-77.74
Well,SEABOARD  TOWN OF: WELL #1,0,36.50,-77.44
Well,SEVERN  TOWN OF: WELL #2,0,36.51,-77.19
Creek,MOUNT AIRY  CITY OF: LOVILLS CREEK,10,36.52,-80.62
Well,Milton  NC : Well #6,0,36.53,-79.21
Lake,NORTHAMPTON--LAKE GASTON,79,36.53,-77.83
Drinking Water,Jamestown,37,36.00,-79.93
Drinking Water,Liberty, NC ,35.86,-79.57
Drinking Water,Montgomery County,14,35.37,-80.05
Lake,Northampton--lake Gaston,6.2,36.50,-77.92
Drinking Water,City of Burlington,51,36.09,-79.44
