Site Type,Name,Total PFAS,sample Type,Lattitude,Longtitude
PFASNetwork >,TOWN OF NORWOOD : LAKE TILLERY,12.91,Lake,35.23085217085579,-80.09880427576333
Drinking Water <,"OAKBORO, TOWN OF  : WELL #3",0.00,Well,35.232056614117106,-80.32149162452647
PFASNetwork >,"KINSTON, CITY OF: DARDEN DR/WELL #11",0.00,Well,35.24214217368456,-77.57621287631392
PFASNetwork >,City of BREVARD,7.10,Drinking Water,35.246173306452576,-82.72748295973118
PFASNetwork >,"CARTHAGE, TOWN OF: NICKS CREEK",45.45,Creek,35.25141413177719,-79.41300928764453
Drinking Water >,"Kings Mountain, NC",2.24,Drinking Water,35.259438325287476,-81.36128922784341
Drinking Water >,Two Rivers Utilities,1.10,River,35.265660340502585,-81.18383828949884
Drinking Water <,Gastonia : TWO RIVERS UTILITIES: MTN ISLAND LAKE,1.10,Lake,35.26839218910914,-81.17782123547214
PFASNetwork >,MONTGOMERY COUNTY : LAKE TILLERY,14.41,Lake,35.27791182223581,-80.10107248533131
PFASNetwork >,BESSEMER CITY : ARROWWOOD LAKE,0.00,Lake,35.295518278312635,-81.29949668236593
Drinking Water <,"HARRISBURG, TOWN OF: WELL #3",3.90,Well,35.29663585937442,-80.67166447196112
PFASNetwork >,"SHELBY, CITY OF: FIRST BROAD RIVER",0.00,River,35.29715344056436,-81.57088088215848
Drinking Water <,LAGRANGE WATER SYSTEM: WELL #2,1.70,Well,35.30029362840952,-77.78659817758042
Drinking Water >,Moore County Public Util. - Pinehurst,118.00,Drinking Water,35.30748328978389,-79.4151179317338
Drinking Water >,Moore County Public Util. - Pinehurst,118.00,Drinking Water,35.30748328978389,-79.4151179317338
Drinking Water <,VANCEBORO WATER SYSTEM: WELL #1,0.00,Well,35.3083790296962,-77.15283699279902
Drinking Water <,WESTERN CAROLINA UNIV WTP: TUCKASEIGEE RIVER,0.00,River,35.31459947324202,-83.17308902173889
Drinking Water <,SOUTHERN WAYNE SANITARY DIST  FAIRGROUNDS #5,10.10,Drinking Water,35.31924622129466,-78.034120540898
Drinking Water <,"ROBBINSVILLE, TOWN OF: LONG CREEK",0.00,Drinking Water,35.324722359689474,-83.81080503205798
PFASNetwork >,"CARTHAGE, TOWN OF: TOWN POND",20.60,Lake,35.33135659658553,-79.40946607940565
Drinking Water <,MOUNTAIN ISLAND LAKE,3.30,Lake,35.33535788104859,-80.9886248635204
Military Site,Seymour Johnson Air Force Base,312000.00,Military Site,35.35235733452471,-77.96526597934735
Drinking Water <,"DUNN, CITY OF : CAPE FEAR RIVER",7.30,River,35.360286457291934,-78.73951959123657
Drinking Water <,"LAKE SANTEETLAH, TOWN OF: WELL #4",0.00,Well,35.363775302224404,-83.86715247888606
PFASNetwork >,CHARLOTTE WATER : MT ISLAND LAKE/CAT RIVER,6.80,Lake,35.36522246916138,-80.93905629893501
PFASNetwork >,"ALBEMARLE, CITY OF: NARROWS RESERVOIR/BADIN L",6.41,Drinking Water,35.37571730898267,-80.19487547160496
Drinking Water <,"GRIFTON, TOWN O",0.00,Drinking Water,35.37933642588193,-77.43076801413498
Drinking Water >,City of Cherryville,607.00,Drinking Water,35.3810251211705,-81.38095354552176
Drinking Water <,TUCKASEIGEE WATER & SEWER AUTH  TUCKASEGEE RIVER,1.20,River,35.38135074381251,-83.26715922044862
Drinking Water >,City of Goldsboro,48.00,Drinking Water,35.38487482138585,-77.9931701903437
Drinking Water >,City of Goldsboro,48.00,Drinking Water,35.38487482138585,-77.9931701903437
PFASNetwork >,CHERRYVILLE : INDIAN CREEK,6.70,Creek,35.38964346844194,-81.36320148497117
PFASNetwork >,CITY OF ASHEVILLE : MILLS RIVER,12.00,River,35.39134129282349,-82.56846251597598
PFASNetwork >,CLEVELAND COUNTY WATER,3.00,Drinking Water,35.399492306192315,-81.2658067131959
Drinking Water <,"MOUNT PLEASANT, TOWN OF (WSACC): DUTCH BUFFALO CREEK",3.60,Drinking Water,35.405444776636756,-80.48866937336132
Military Site,Stanly County Airport,985.00,Military Site,35.41445826129975,-80.15112157231472
Drinking Water <,HARNETT CO DEPT OF PUBLIC UTIL: CAPE FEAR RIVER,6.40,River,35.41614096468032,-78.82588220762858
Drinking Water >,LAKE LURE TOWN OFÿ,0.00,Lake,35.423303622221624,-82.19531333546674
Drinking Water <,"WAYNESVILLE, TOWN OF  ALLENS CREEK RESERVOIR",0.00,Drinking Water,35.424926701055696,-83.00871264271734
Drinking Water <,WHITTIER SANITARY DISTRICT  WELL #2,6.20,Well,35.435510410138725,-83.35905408638187
Drinking Water <,"SNOW HILL, TOWN OF  TYSON WELL #5",0.00,Well,35.43724059637259,-77.65334216300118
PFASNetwork >,CHARLOTTE WATER: LAKE NORMAN,2.70,Lake,35.445960109871415,-80.9083441175386
Drinking Water >,ÿBeaufort County Southside,1.40,Drinking Water,35.4467168924922,-77.05801978833432
Drinking Water <,TOWN OF FONTANA DAM  FONTANA LAKE,0.00,Lake,35.45447625284331,-83.79636939135568
Drinking Water <,JOHNSTON COUNTYÿ,134.10,Drinking Water,35.47222999670858,-78.52421863166312
Drinking Water <,TOWN OF BATH  WATER SYSTEM: WELL #1,4.50,Well,35.47352831747677,-76.81178999937364
Drinking Water <,WAYNE WATER DISTRICTS: ARRINGTON BRDG RD-SHALLOW,0.00,Drinking Water,35.47794517325967,-77.85224958655486
PFASNetwork >,LAKE CONCORD/COLDWATER CR,27.01,Lake,35.47938954709714,-80.58611824802189
PFASNetwork >,LAKE FISHER/COLDWATER CRK,3.20,Lake,35.488622634275075,-80.57648642781052
PFASNetwork >,"PILGRIM""S PRIDE WATER SYSTEM: DEEP RIVER",42.22,River,35.49626202635749,-79.20473085763734
Drinking Water <,TOWN OF CHOCOWINITY  CHOCOWINITY WATER SYSTEM: WELL# 2A,9.09,Well,35.50090120904703,-77.08419431352702
Drinking Water <,"WINTERVILLE, TOWN OF  HUNSUCKER WELL",0.00,Well,35.511925342833095,-77.40508026729184
Drinking Water <,MAGGIE VALLEY SANITARY DIST  :CAMBELL'S CREEK,0.00,Drinking Water,35.514950755761376,-83.09888124744111
Drinking Water <,MAGGIE VALLEY SANITARY DIST  : JONATHANS CREEK,0.00,Drinking Water,35.51918320145374,-83.10172189293169
PFASNetwork >,"SMITHFIELD, TOWN OF: NEUSE RIVER",83.22,River,35.52008719805985,-78.3498786978567
Drinking Water >,LINCOLN COUNTY WTP: LAKE NORMAN,90.20,Lake,35.53161402553492,-80.98979509969413
PFASNetwork >,TOWN OF SELMA,59.40,Drinking Water,35.53913236932889,-78.28247840013323
Drinking Water <,WAYNE WATER DISTRICTS: KIRBY WELL @ WTP 2,9.80,Well,35.545349182368334,-78.05174629385911
Drinking Water <,"SANFORD, CITY OF  CAPE FEAR RIVER",44.60,River,35.54870228734086,-79.0249711229594
Drinking Water <,TOWN OF BELHAVEN WATER SYSTEM: WELL #3,2.00,Well,35.55278087908814,-76.6297228031432
Drinking Water <,HYDE COUNTY WATER SYSTEM: FAIRFIELD WELL #1,4.60,Well,35.55965950051372,-76.31358902585796
Drinking Water >,City of Washington,2.50,Drinking Water,35.55971193378775,-77.06935360780291
Drinking Water <,GRIMESLAND TOWN OF,1.20,Drinking Water,35.560339148989264,-77.18883629994119
Drinking Water <,"MICRO, TOWN OF  : WELL #3",21.40,Well,35.56973048573778,-78.18888689947688
Drinking Water <,town of faith nc,2.10,Drinking Water,35.590223597873866,-80.45971407032023
Drinking Water <,town of farmville nc,1.00,Drinking Water,35.599159773055476,-77.58830457649185
PFASNetwork >,JOHNSTON CO-WEST: NEUSE RIVER,134.10,River,35.61563496746971,-78.34705819460882
Drinking Water <,MOORESVILLE TOWN OF: LAKE NORMAN,7.40,Lake,35.61660735370136,-80.89194477650439
Drinking Water <,HARRIS NUCLEAR PLANT WATER SYSTEM: HARRIS LAKE,102.70,Lake,35.62126536271019,-78.9168540224537
PFASNetwork >,TOWN OF BLACK MOUNTAIN ,3.50,Drinking Water,35.62182757440715,-82.32631817786095
PFASNetwork >,Town of OLD FORT,4.60,Drinking Water,35.6287099281683,-82.17932402506518
Drinking Water <,GREENVILLE UTILITIES COMM: TAR RIVER,25.60,River,35.63208589175924,-77.40249664571381
PFASNetwork >,HARRIS NUCLEAR PLANT WATER SYSTEM: HARRIS LAKE,101.00,Lake,35.63413006528294,-78.9416490025322
PFASNetwork >,HARRIS NUCLEAR PLANT WATER SYSTEM: HARRIS LAKE AUX RESERV,67.00,Lake,35.63413006528294,-78.9164900253228
Drinking Water <,WOODFIN SANITARY WATER AND SEWER: SUGAR FORK,0.00,Drinking Water,35.635777419745324,-82.50794627547066
Drinking Water >,"Lucama, NC : Well",7.50,Well,35.64247368287733,-78.0083168002606
Military Site,Salisbury AASF #2,2794.00,Military Site,35.646120788845344,-80.52481027599751
Drinking Water <,MONTREAT WATER SYSTEM: WELL #1,0.00,Well,35.64802256001674,-82.3031097705037
Drinking Water <,"Saratoga, NC",0.00,Drinking Water,35.65352610569924,-77.778326384757
Drinking Water <,"NEWTON, CITY OF  CITY LAKE",19.51,Lake,35.65532425266105,-81.25105263015557
Drinking Water <,"STANTONSBURG, TOWN OF  WELL #1",0.00,Well,35.66281574059565,-77.84598133102187
Drinking Water <,"RALEIGH, CITY OF  : LAKE BENSON",27.42,Lake,35.6630286925105,-78.61240961424777
PFASNetwork >,ASHEVILLE CITY OF: NORTH FORK RESERVOIR,0.00,Drinking Water,35.663983429301574,-82.34506127472918
Drinking Water <,"MARION, CITY OF: MACKEY CREEK",0.00,Drinking Water,35.6685227927886,-82.12740675561363
Drinking Water <,"WEAVERVILLE, TOWN OF  IVY RIVER",0.00,River,35.69242710781897,-82.58213317388928
Drinking Water <,SALISBURY-ROWAN  YADKIN RIVER,4.60,River,35.69761910423539,-80.49941573916952
PFASNetwork >,"WILSON, CITY OF: WIGGINS MILL POND",21.81,Lake,35.698676053127194,-77.95993201045343
Drinking Water <,"MARION, CITY OF: CLEAR CREEK",6.20,Drinking Water,35.70248149851788,-82.09589692437682
PFASNetwork >,"WILSON, CITY OF: LAWNDALE DR @TOISNOT RESEVOIR",26.00,River,35.7044103915243,-77.95099296736697
PFASNetwork >,CITY OF SILER CITY : ROCKY RIVER (LOWER),62.82,River,35.717440970530255,-79.45836267536576
PFASNetwork >,CITY OF   ASHEBORO : LAKE LUCAS,44.81,Lake,35.72222050589744,-79.86198234402221
Drinking Water >,College View Mobile Home Park,152.00,Drinking Water,35.73288671494801,-79.09381199621549
Drinking Water <,"Ramseur, NC",0.00,Drinking Water,35.736961193730544,-79.6657959963515
PFASNetwork >,CITY OF   ASHEBORO : LAKE BUNCH,15.21,Lake,35.738677242739065,-79.87132278846148
PFASNetwork >,CHATHAM COUNTY : JORDAN LAKE,111.90,Lake,35.74211710286995,-79.02527664529
Drinking Water >,"Macclesfield, NC : Well",0.00,Well,35.75328395609633,-77.66635522925576
Drinking Water <,CATAWBA RIV/LAKE HICKORY,2.39,Lake,35.7575961138752,-81.37245901581717
Drinking Water <,"STATESVILLE, CITY OF  LOOKOUT SHOALS",11.20,Drinking Water,35.76685718752889,-81.09011690700937
Drinking Water <,"PINETOPS, TOWN OF  : WELL #4",0.00,Well,35.76929067443756,-77.63080160510309
Drinking Water <,"VALDESE, TOWN OF  LAKE RHODHISS",2.20,Lake,35.77729672452406,-81.55784500536897
Drinking Water >,"LAKE RHODHISS, Lenoir, NC ",0.00,Lake,35.784538822039536,-81.49398741828364
Drinking Water <,"GRANITE FALLS, TOWN OF  LAKE RHODHISS",2.64,Lake,35.78562054129575,-81.43469530847192
Drinking Water <,"ELM CITY, TOWN OF: BLOODFIELD WELL",5.90,Well,35.80741322999933,-77.86307885095175
Drinking Water <,"JAMESVILLE, TOWN OF: WELL #1",0.00,Well,35.8107637468878,-76.89537255138818
PFASNetwork >,"CARY, TOWN OF : JORDAN LAKE",95.62,Lake,35.82233054796396,-78.98201798017647
PFASNetwork >,City of CANTON : Piegeon River ,0.00,River,35.826349823134166,-83.14060533819752
Drinking Water <,"Robersonville Township, NC",0.00,Drinking Water,35.83769737727662,-77.26740343421828
Drinking Water >,"liberty, NC : Well",25.62,Well,35.855147765246116,-79.57594481391648
Drinking Water <,"MARSHALL, TOWN OF  : WELL #8",12.00,Well,35.85638354248287,-82.67097411661203
Drinking Water <,"MARSHALL, TOWN OF  : WELL #10",0.00,Well,35.861728833497914,-82.66150040033911
Drinking Water <,MARTIN CO REGIONAL WASA: ROANOKE RIVER,14.90,River,35.86253077294508,-77.04624153735547
PFASNetwork >,PIEDMONT TRIAD REGIONAL: RANDLEMAN LAKE,57.60,Lake,35.865703611697754,-79.82463112898895
Drinking Water <,PLYMOUTH WATER SYSTEM: WELL #1,0.00,Well,35.867258706867446,-76.73622793737704
Drinking Water >,"Lake Thom-A-Lex Park, Yokley Road, Lexington, NC",0.00,Lake,35.87854292182878,-80.18862882068974
Drinking Water <,"Hot Springs, NC",0.00,Drinking Water,35.892084065709724,-82.82284158438304
Drinking Water >,orange water and sewer authority,30.00,Drinking Water,35.903624385239276,-79.09757401933236
Drinking Water >,orange water and sewer authority,30.00,Drinking Water,35.903624385239276,-79.09757401933236
Drinking Water <,WASHINGTON COUNTY WATER SYSTEM: WELL #1,0.00,Well,35.90563684145495,-76.49466559432825
Drinking Water <,MARTIN CO WATER & SEWER DIST I: WELL #1,6.20,Well,35.90642883408925,-77.22468122095825
Drinking Water <,"TARBORO, TOWN OF  TAR RIVER",0.00,River,35.91711300656173,-77.50997421190877
PFASNetwork >,COLUMBIA WATER SYSTEM: COLUMBIA WATER WELL #1,0.00,Well,35.92370135054662,-76.24159159571163
Drinking Water <,TYRRELL COUNTY WATER: RO WELL #4,5.40,Well,35.92505715787375,-76.35743274660015
Drinking Water <,"MARS HILL, TOWN OF  : CARTER COVE RESERVOIR",1.20,Drinking Water,35.93713920990273,-82.49781848258255
Drinking Water <,"MOCKSVILLE, TOWN OF: HUNTING CREEK",3.00,Drinking Water,35.93811934623393,-80.50962818440024
PFASNetwork >,TOWN OF LIBERTY,25.00,Drinking Water,35.939732553410444,-79.47558539016562
Drinking Water <,"MARS HILL, TOWN OF  : LAUREL CREEK RESERVIOR",0.00,Drinking Water,35.94254078299956,-82.49404240699492
Drinking Water <,"SPRING HOPE, TOWN OF  WELL #4 ELEM SCH",0.00,Well,35.95083724442601,-78.10896913558223
Drinking Water <,"RALEIGH, CITY OF  : FALLS OF THE NEUSE",34.00,Drinking Water,35.9512895712529,-78.58195880629478
PFASNetwork >,CITY OF ROCKY MOUNTÿ : TAR R @ RESERVR,68.00,Lake,35.955627248807986,-78.19767158805965
PFASNetwork >,ORANGE WATER & SEWER AUTHORITY: CANE CREEK RESERVOIR,119.02,Creek,35.96353884311196,-79.22027360254523
Drinking Water <,"NASHVILLE, TOWN OF: WELL #7",0.00,Well,35.971715358260596,-77.99841523969216
Drinking Water <,"WINSTON-SALEM, CITY OF  YADKIN RIVER (IDOLS DAM)",5.20,River,35.97498926839251,-80.39870135757187
Drinking Water >,ÿCollege View Mobile Home Park,152.00,Drinking Water,35.99306376900922,-77.9368899627945
Drinking Water >,ÿCollege View Mobile Home Park,152.00,Drinking Water,35.99306376900922,-77.9368899627945
Drinking Water <,"HIGH POINT, CITY OF  CITY LAKE",66.26,Lake,35.99633650427485,-79.94555303984983
Drinking Water <,"WINDSOR, TOWN OF  WELL #6B",0.00,Well,36.00472998291566,-76.94828546999831
Drinking Water >,City of Durham,15.00,Drinking Water,36.008464388570765,-78.8780473321024
Drinking Water >,City of Durham,15.00,Drinking Water,36.008464388570765,-78.8780473321024
Drinking Water <,"HIGH POINT, CITY OF  OAK HOLLOW LAKE",25.12,Lake,36.016547324995855,-79.98514869441303
Drinking Water <,city of edenton nc,1.25,Drinking Water,36.06793865753292,-76.61295817136372
Drinking Water <,"Eno River  Hillsborough, NC",1.10,River,36.071858088971986,-79.13068755598144
Unknown,Durham91,11.70,Drinking Water,36.091153829212715,-78.82512777692405
PFASNetwork >,TOWN OF PITTSBORO :  HAW RIVER,54.32,River,36.09365694020776,-79.36948219252174
PFASNetwork >,MARTIN COUNTY REGIONAL WASA : ROANOKE RIVER,14.92,River,36.09638607706062,-77.24931429093404
PFASNetwork >,"WINSTON-SALEM, CITY OF SALEM LAKE",16.21,Lake,36.09869160464958,-80.18201469996524
Drinking Water >,"Louisburg, NC : TAR RIVER",0.00,River,36.10559547841731,-78.29437677741255
Drinking Water <,"FRANKLINTON, TOWN OF: TAYLOR CREEK",19.16,Drinking Water,36.105692229876965,-78.47305578734168
Drinking Water <,"YADKINVILLE, TOWN OF: SOUTH DEEP CREEK",10.90,Drinking Water,36.10997923988342,-80.65678613224205
Drinking Water <,DURHAM : LAKE MICHIE,8.90,Lake,36.13052205753424,-78.87307048487081
PFASNetwork >,"BLOWING ROCK, NC",0.00,Drinking Water,36.13310167697749,-81.66815452916677
Drinking Water <,SOUTH GRANVILLE WTR&SEWER AUTHORITY  KNAPP OF REEDS CRK,45.02,Drinking Water,36.1363430747834,-78.75628985699818
PFASNetwork >,SOUTH GRANVILLE WTR&SEWER AUTHORITY,45.02,Drinking Water,36.13774863392238,-78.79783253280715
Drinking Water >,South Granville Water and Sewer Authority,49.00,Drinking Water,36.13995065386509,-78.7632475964323
Drinking Water >,South Granville Water and Sewer Authority,49.00,Drinking Water,36.13995065386509,-78.7632475964323
Drinking Water <,"WILKESBORO, TOWN OF  YADKIN RIVER",0.00,River,36.144437702588554,-81.1792503367149
PFASNetwork >,TOWN OF SEVEN DEVILS,11.79,Drinking Water,36.14735658221867,-81.79658436365183
PFASNetwork >,County of CHOWAN : WELL #9 @ VALHALLA,3.10,Well,36.14897743927294,-76.68929487943323
Drinking Water <,DURHAM : LITTLE RIVER RESERVOIR,7.30,River,36.151831697583276,-78.82955047031784
Drinking Water <,DURHAM : LAKE MICHIE,7.30,Lake,36.151831697583276,-78.82955047031784
Drinking Water <,town of elk park nc,0.00,Drinking Water,36.15875105144149,-81.98337449119578
PFASNetwork >,TOWN OF BANNER ELK,0.00,Drinking Water,36.16128439116518,-81.86740911895856
Drinking Water <,"NORTH WILKESBORO, TOWN OF  : REDDIES RIVER",0.00,River,36.1622394929293,-81.15661264775447
PFASNetwork >,CITY OF GREENSBORO : LAKE BRANDT,60.00,Lake,36.16461427965204,-79.84741739875288
PFASNetwork >,CITY OF GREENSBORO  : LAKE BRANDT,65.00,Lake,36.17590826623738,-79.86411146661592
PFASNetwork >,CITY OF GREENSBORO : LAKE TOWNSEND,40.00,Lake,36.180588660670544,-79.75909383036885
Drinking Water <,town of ENFIELD nc,0.00,Drinking Water,36.18290272385569,-77.66635440770487
Drinking Water <,PASQUOTANK COUNTY WATER SYSTEM: PASQ CO WELL #2,5.80,Well,36.19908094424436,-76.31398686408379
Drinking Water <,APPALACHIAN STATE UNIV WTP: NORRIS BRANCH,0.00,Drinking Water,36.213545459929236,-81.68402139516463
Drinking Water <,"RONDA, TOWN OF: WELL #2",0.00,Well,36.21903453804989,-80.94278921108943
Drinking Water <,"POWELLSVILLE, TOWN OF  : WELL #1 WYNN ST",0.00,Well,36.22480861642998,-76.93215929445135
PFASNetwork >,CITY OF KING PUBLIC UTILITIES: YADKIN RIVER,4.10,River,36.25665735902908,-80.46659892016052
Drinking Water <,"ELKIN, TOWN OF: BIG ELKIN CREEK",0.00,Drinking Water,36.25670696223017,-80.86517486453614
Drinking Water <,"Rich Square Township, NC : Well #1",0.00,Well,36.272977361093155,-77.2871253526157
Drinking Water <,"Rich Square Township, NC",0.00,Drinking Water,36.27408451060918,-77.27545237966349
Drinking Water <,"Lake Reidsville, Reidsville, NC",6.60,Lake,36.283981032754824,-79.66233910164755
PFASNetwork >,Town of AHOSKIE,7.10,Drinking Water,36.29157901657742,-76.98269688007518
Drinking Water <,PASQUOTANK CO RO WATER SYSTEM: WESLEY 1 WELL,2.10,Well,36.29481377790763,-76.35208126031839
Drinking Water <,"WALNUT COVE, TOWN OF  WELL #3",0.00,Well,36.29692551184291,-80.13488886924442
Drinking Water >,asquotank County Water System,5.80,Drinking Water,36.30165810801827,-76.23729138132853
Drinking Water >,Pasquotank County Ro Water System,2.50,Drinking Water,36.30165810801827,-76.23729138132853
Drinking Water <,"HARRELLSVILLE, TOWN OF ",2.20,Drinking Water,36.303083945474235,-76.790995652509
Drinking Water <,city of ELIZABETH  nc,60.90,Drinking Water,36.30542087372826,-76.25103635032691
PFASNetwork >,SOUTH CAMDEN WTR & SWR DISTRCT: WELL #1 DEEP,0.00,Well,36.30641030759883,-76.21859026759469
Drinking Water <,town of ELIZABETH CITY,6.90,Drinking Water,36.31017428567778,-76.21274612642053
Drinking Water <,"WOODLAND, TOWN OF: WELL #1",0.00,Well,36.328397262146254,-77.21223641940576
Drinking Water <,VILLAGE OF COFIELD  WELL #3,0.00,Well,36.356680260771085,-76.9095162559702
Drinking Water >,"Madison, NC : DAN RIVER",0.00,River,36.376034712879495,-79.9935645289702
Drinking Water <,"Beaver Creek, NC",0.00,Drinking Water,36.37782926324364,-81.50155509016955
Drinking Water <,"Pilot Mountain, NC",6.40,Drinking Water,36.38372324911006,-80.47590188273278
Drinking Water <,"JACKSON, TOWN OF: WELL #2",0.00,Well,36.3916858131861,-77.42042064255338
Drinking Water <,"WINTON, TOWN OF  WELL #1",0.00,Well,36.39732155983324,-76.93109559071391
Drinking Water <,"WEST JEFFERSON, TOWN OF: WELL #3A-WEST SEVENTH ST",7.84,Well,36.408746270852404,-81.49665210123511
Drinking Water <,"DOBSON, TOWN OF: FISHER RIVER",0.00,River,36.417992909280734,-80.71739918932919
Drinking Water <,"TOWN OF CONWAY, TOWN OF: WELL #5A",0.00,Well,36.431890907745085,-77.22680062631768
Drinking Water <,"MURFREESBORO, TOWN OF: WELL #1",0.00,Well,36.435368885010796,-77.10404357286644
PFASNetwork >,CURRITUCK : SOUTHERN OUTER BANKS WTR SYST: WELL #1,1.20,Well,36.43784350465235,-76.01254688187412
Drinking Water <,ROXBORO STEAM PLANT: HYCO LAKE,14.00,Lake,36.485694080347166,-79.07347414569836
Drinking Water <,City of Eden,1.25,Drinking Water,36.48890308587346,-79.75876708736556
Drinking Water <,"MOUNT AIRY, CITY OF: STEWARTS CREEK",8.90,Drinking Water,36.49437996920794,-80.6536150583668
Drinking Water <,"SEABOARD, TOWN OF: WELL #1",0.00,Well,36.49597536418952,-77.43818576923883
PFASNetwork >,WELDON WATER SYSTEM: ROANOKE RIVER,19.07,River,36.49802834375767,-77.73756652575032
Drinking Water <,"SPARTA, TOWN OF: WELL #9",0.00,Well,36.50112436880406,-81.11549088379813
Drinking Water >,"Lansing, NC",0.00,Drinking Water,36.50121271911082,-81.50776591938805
Drinking Water <,"SEVERN, TOWN OF: WELL #2",0.00,Well,36.514827122940034,-77.1877562136671
Drinking Water <,"MOUNT AIRY, CITY OF: LOVILLS CREEK",0.00,Drinking Water,36.52494365854489,-80.6162219299466
Drinking Water <,"Milton, NC : Well #6",0.00,Well,36.530691694831354,-79.20983660420005
Drinking Water >,"KANNAPOLIS, CITY OF  KANNAPOLIS LAKE",10.10,Lake,38.6249710272358,-97.98929618873031
